a cote de    ya panga a
cacher quelque chose    sweghe       chela
cachette    isweghi
cachettes    bisweghi
cadavre    ibimi
cadavre    mvoumbi
cadeau    mafoutou
cadeau    mandzolo
cadenas    pogho
cadenas ancien    moubindagha
cafard    pechi
cahier    pepi
caillou    lekania
caisse    foyo
caisse d'emballage    ighoughoudou
calebasse    mbenda
calebasses    mambenda
caler    soka
caler une table    kaghoussa
cameleon    youmbouloukouyi
camion    loto
campement de pygmees    mvoudou
campement de brousse    itsaka
campement de pygmees    mbangou
campements de pygmees    mambangou
canard domestique    ighodo
canard sauvage    ibadanga
candeur    boupogho
canne    moupanga
canne a sucre    moussoungou
cannes a sucre    missoungou
caoutchouc    ndamba
je ne suis pas capable    mè na n'ioutou ve
caprice    ndzola
caprice    potso
mauvais caractere    bikou bibibi
carapace    ibonga
carapaces    bibonga
caresser    pele
carrefour    makoulou
cascade    poba
casser    boghoulo
ce    che
ce    wou
ce n'est pas ainsi    agni bove
ce n'est pas toi    a we ve
ce qui cache le devant    chi isweghe ghoutsoboussou
ce sont lesquelles?    bio bigni ?
ce sont lesquels?    bo begni ?
ceci    chena
cecite    boupipidi
ceintre    moulelaghe
ceintres    milelaghe
ceinture    kwamba
celibataire    indenga
celui-ci    wo naba
celui-ci    chinichi
celui-ci    wounouwou
cendre    lefoutou
cent    moukama
cent francs    makoumi mole
centre    moutema
ceremonie    moubeka
cervelle    boundzou
ces arbres    miti mi
ces choses    bielabi
ces hommes    bata ba
cesser    ni agha
chagrin    ouroungou
chagrin    tchongo
chair    moussouniou
chaleur    ndzoungouli
chaleur du soleil    nianga
chambre a coucher    tchinandzo
champignon    leboko
chance    nioutou boubwe
changer    sandza
changer quelquechose    kalagha
changer de vetement    lwata  lengoyi lekima
chanson    limba
chant    limba
chanteur    mouyimbi
chants    kimba
chanvre    yamba
chapeau    moupaka
charbon    likbida
chasse au filet    mbinga
chasser (chasse    benga
chasser (quelqu'un    mfoundzou
chasseur (amateur    moubingui
chasseur (professionnel    moumbanda
chat    moukogho
chat-huant    nombo
chaussure    letembi
chauve-souris    lepouligou
la pirogue chavire    mboungou  i itagha
chavirer    itagha
chef    chefa
chef    koukou
chef    chepa
chef de famille    moundomba
chefs    bakoumou
chemin    ndzela
chenille    itchitsouda
chenille poilue    itchitsada
chenilles    bitchitsouda
chercher    sagha
cheveu    letsoughi
cheveux    tsoughi
cheville    lekoukou
chevre    a     taba
chevron    moukokolo
chevron    moukamba
chevrons    mikokolo
chez    ghoumbogha
chien    mvwendi
chiffre    lepita la ranga
chiffre    nguindza
chimpanze    koulou
chique    niongo
choisir    solo
chose    chela
chose cherie    chela cha moutema
chouette    ibida
chuchotement    wedini
chuchotements    mawediawedi
chuchoter    wedana
chute    paba
cicatrice    ividi
ciel    youlou
cieux    mayoulou
cil    kongui
cils    makongui
cimetiere    nguila magnima
cinq    bitana
cinquante    badolo lekoumi
cinquantieme    cha makoumi matana
cinquieme    moutana
citron    lelouchi
citrouille    lelengue
citrouilles    malengue
civette    moungania
clair    cha tendeghe
clair de lune    moudanga
voir clairement    mono vele
clan    ibanda
claudiquer    tsoutsoughou
clavicule    moungongobi
clef    itchepi
clefs    bitchepi
cligner des yeux    patala cha missa
clitoris    moutongui
petit clou    tsede
grands clous    batchongo
petits clous    batsede
coccyx    moukouroukoutou
cochon    moubongo
cochons    mabekbe
coeur    moutema
cogner    bola
coiffer    mfoughou
colere    kechi
coller    katouna
coller    katoussa
collier de cuivre    moulonga
colline    ibendaka
colonne    mougongo
cokbien ?    kwe ?
commander    toma
comme    nga na
commencer    banda
comment  ?    bougni    ?
comment dit-on   ?    bougni balele ?
commerçant    mouchoumbichi
commerce    somboussa
comparaison    ifwenichi
comparer    fwanassa
comprendre    yogha
compter    tala
compter sur quelqu'un    sa  chi ta
concilier    nonguichi
concombre    ndzaka
concubinage    lembaka
concubinage    bou mbaka
concubine    mbaka
conduire quelqu'un    tosso
conduire la voiture    beta
faire confiance    sa chita
confirmer    chinga
confluent    mala
connaitre    yaba
faire connaitre    yaboussa
conseil    ndongui
conseiller    moulongui
conseiller    longo
consoler    popichi
consulter le guerisseur    tesse nganga
conte    lessaba
coquille d'oeuf    ibonga cha lemvoungou
corbeille    mbele
corde    moundjighi
corde d'un panier    lewbi
corps    mioutou
corriger    vanga
etre a cote    u ba panga
cote    lebendji
cote    panga
cote    ngoulou
cotes    mbendji
cou    lekinga
couche    kekeli
coude    mbokoulo
coudre    namougha
couler les larmes    tsolo
couleur    pita
couper    kesse
courageux    moutema lekama
courge    ndzaka
court    boutele boukoubi
il est court    moukoubi
coussinet    ipoundili
couteau    mbedi
couteaux    mambedi
coutume    ikou
coutumes    bikou
couver    ghodounou
couvercle    tapa
couvrir    djigougha
crachat    late
crachat    ikossolo
crachats    mate
crachats    bikossolo
cracher    toutoulou  late
craie    lvembe
craindre    mono  bomo
la crainte que j'ai    bomo bou me li na bwo
crapaud    ivoughou
craquer    ghassana
creuser    vaka
crevette    moukosso
cri    lekima
crier    kaya
criquet    lebanga
criquets    mabanga
cris    makima
crochet    lengobiki
crocodile    nganda
crocodiles    banganda
croire    chinga
faire croire    chingassa
croiser les bras    foutou   cha miogho
cru    chi ibissa
cruche en terre    mouniomi
cruches en terre    miniomi
cueillir    tolo
cuillere    moussebe
grande cuillere    doudou
cuire    viadoussa
faire cuire dans un paquet    yosso
cuisse    inama
cuit    viada
cuvette    lepela
cuvette    itengue chi ineni
daba    ikanga
dabas    bikanga
dame    moukassa
dame-jeanne    ingamba
danser    kena
