a cote de    ya panga a
mettre    soussa
mettre à la porte    foundza
mettre d'accord    yaghala
mettre d'accord    chinga
mettre en fuite    batassa
mettre en tas    sa mou biboutou
midi    letedi leka keti a keti
midi    moutema   nianga
midi    moutema ba bouchi
miel    bouyi
miette    matsetsengui
miettes    fourfouchi
miettes de pain    matsetsengui ma pembe
milieu    keti
au milieu    ya moutema
militaire    mougholi
mille    moutossina
mille    mikama lekoumi
mille francs    mikaka mioli
mille-pattes    ngongoulo
miracle    imoulou
miracle    imagha
miroir    chegni
miroirs    biegni
etre modeste    ghobachi
moi    me
moins    pessa
moins bon    pessa boubwe
moitie    ibedi
mollet    mouvindi
au même moment    ya ketia ya
montagne    moukoudi
monter    koma
monter    vata
monter à brazaville    tanda brazaville
monter au-dessus    kama
monter au-dessus    youla
montrer    mwesse
montrer    lagha
se moquer    vele
mordre    kagha
homme mort    moutou a kwa
mort subite    lebimbi
mort-né    ba bota a kwa
mortier    mboungou
motif    tsotso
mou    ya kolo
mouche tse-tse    bosso
mouche tse-tse    ivivi
mouiller    bolo
mourir    kwada
moustique    toubou
mouton    taba
moyen    tsongo
pas moyen    tsongo ve
muet    ibebe
multiplier    bwesse
mur    ibagha
etre mur    ya yele
murir    benguesse
murir    pinda
murmurer    wadana
myope    tendi
myopes    batendi
naissance    lebota
navette    loto la lasso ba bata
faire la navette    kiba
ne pas...    niagha gni...
ne pas...    niagha
neant    chela ve
negociateur    moubondi
net    ya songouna
nettoyer    tsemasse
nettoyer la plantation    saghala nioungui
neuf    chela cha na mandza
neuf    via
neuvieme    via
nez    leyoulou
noeud    lendjita
noir    moupindi
noir    mounombi
noircir    pindoussa
noirs    minombi
nom    koumbou
nombre    moutala
nombre    lerambou
nommer    logha koumbou
nommer    ve koumbou
non    agha
notable    ivonda
nourrir    bongoula
nourritures    biela
nous    fessa
nouveau    tamandza
nouveau-né    ikegni cha mwana
nouveau-né    ikegni
nouvelle    moukenda
nouvelles    matsanga
noyau    moungui
nuage    leboungui
nuages    mabongui
nudité    mouniengue
nuit    boutsoughou
obéir    yimboussa
obéissance    leghobousso
s'obsrcir    pindoussa
oiseau    ifoudou
oiseaux    bifoudou
omoplate    lapapanga
ongle    niada
ongles    maniada
onze    lekoumi na i mo
oreille    letchwi
oreilles    matchwi
faire l'orgueilleux    sa madzanga
orteil    leniada
orteils    maniada
os    mavichi
os    levichi
oublier    tamboussa
oui    è
ouvre la bouche    djiboula mounio
pagaie    languepi
semer la pagaille    sa moupogha
pagayer    doughou
pagne    tsanda
paiement    mafoutou
toit de paille    kondza
pain    lepembe
pains    pembe
paix    polo
palabre    moussosso
palabre    ndjamba
palabrer    sa  missosso
palabres    missosso
palais de la bouche    lelelagha
pale    doudou
panier    pondji
panier a peche en bambou    moussomba
pabier a peche en liane    moussoundi
pansement    irende
panthere    vevi
pantheres    bavevi
papa    teyi
papaye    lelolo
papillon    ifoudounganga
paquet    moukota
par pitié    mou tinga
parapluie    lepoungou
parassolier    moussengue
parassoliers    missengue
parce que    ngue mou
parenté    moutchigha
parfois    mamegha ma ke
parfum    mouyombo
pari    ivigha
parier    kesse ivigha
ne parle pas    niagha vovo
ne parle pas    nia vovo
parler à quelqu'un    tata cha moutou
parler bien    vovo ba bwedi
parler fort    chimboula ndagha
parleur    mouvovi
parleurs    bavovi
ne parlez pas    niagha gni vovo
parole    ndagha
partager    kaba
partez!    yende!
penis    lekata
partir    yende
à partir de    moubana
à partir du matin    moubanda  ngweli
pas du tout    chela pessa ve
le camion passe    loto lo lota
passer    lota
patate douce    imongo
patate douce    dengue
patates douces    bimongo
pate    litoki
patienter    remboussa
patienter    kele
patte    lepala
pattes    mapala
pause    voma
pauvre couillon!    itoukou
payer    foutou
pays    tsengue
peau    ibanda
peau de bete    ibanda
peau humaine    moukobo
peigne    tsatsa
se peigner    tsatsa
peindre    noga
peler    yobougha
peler    yoboula
se pencher    denguene
pendant que    moukoulou
pendant que    moukoulou wou
se pendre    leleghe
penetrer    gnigoula
mauvaise pensée    tchimi yibi
penser    tchimana
penser    tassa
percer    toubou
perter    tela
se perdre    niongoussa
se perdre    niambouna
perdrix    ngweli
pere    tata
perroquet    koussou
pas une personne    moutou ve
une personne    moutou
personne cherie    moutame wa moutema
personne cherie    moutou a ma wa moutema
perte    niongo
pet    moukouchi
petit    nguebe
petitesse    bounguebe
petitesse    moukoubi
pets    mikouchi
peu    pessa
peu a peu    pessa na pessa
peuple    lilongo
faire peur    pamouna
tu peux tres bien    vessa kondo ve
pian    ibende
picorer    doko
piece de maison    tchinandz0
chambre    tchina a ndzo
pied    letembi
au pied de    ya tchina a
pied d'une table    tsodi
pieds    matembi
pieds d'une table    matsodi
piege    mouramba
piege à trou    touli
piege    lebanda
piege à oiseaux    lendembe
pieges    miramba
pieges à trou    batouli
pieges à oiseaux    mandembe
pierre    lemania
pierre à briquet    lemania la moukwete
pierres    mamania
pigeon    lekonda
piler    toko
piler le manioc    toko bapita
pilon    moussou
piment    ndoungou
piments    bandoungou
piocher    vaka
pipe    chindza
piquet    issoumou
piqure    tsongui
piqures    matsongui
pirogue    mboungou
piste    ndzela
pitié    tinga
à la place    deya itsegha cha
plaie    pingui
soigner une plaie    bogha pingui
plaine    ilongo
planche    mabaya
plantation    nioungui
plantations    manioungui
plante veneneuse    youlou
planter    kona
plaquer    katoussa
plaquer    katouna
plein    ya lola
etre plein    cha kogha
plein jour    na nianga
pleurer    lela
pleureur    moulili
pleuvoir    nogho
faire pleuvoir    noghouchi
plier    ghodouchi
plier les genoux    ghodouchi mabongo
ployer    denguene
faire ployer    denguesse
pluie    mvoulou
plume    tsala
plumer    foudoughou
plumes    matsala
plus    bouleghi bwa lotala
plus rien    chela ka ve
pneu    ghoulou
poignet    leyoukou
poil    moukoungou
poils    mikoungou
poing    ighaba
poings    bighaba
sur le point de    ya
sur la pointe des pieds    mou matsoumbiti
poisson    tchwi
poisson salé    makayaba
poissons    batchwi
poitrine    toulou
polygamie    inganda
porc    moubono
porc-epic    ngomba
porte    indjibougha
porter plainte    sosso
portion    lekaba
poser    soussou
poser sur    temba ghouyoula
poser sur    temba  ghouyoulou a
possesseur    ngachela
pou    tchina
pouce    moulemba-ngou
poudre de chasse    mfoulou
poule    tsoussou
pouls    yi ma
palpitation    moutema tsoka
poumon    poupoudou
poumons    bapoupoudou
pour que    to
pourquoi?    mou ki ?
pourquoi?    mou biki ?
pourri    ya bolo
pourrir    bolo
poursuivre    toutounou
pousser    tchindougha
pousser un objet    tchindougha cha chela
poussiere    moufoundou
plus pouvoir    kondo
le pouvoir    lenianga
pouvoir    toghala
pouvoir    togha
precautionneusement    denguele
se precipiter    roungou
preferer    rondo
premier    wa tsomi
prendre    bongo
prendre la parole    bongo cha ndagha
preparer    vanga
preparer les medicaments    vanga cha miti
pres de    ya panga a
presentation    mwesse
presser    kamouna
presser entre les mains    pinta
pret à partir    bele na u yende
preter    nwanoussa
prier quelqu'un    bondo cha moutou
priere    lebondo
etre pris sur le fait    somagha
prisonnier    ngatsoughou
prix    lendji
les proches    bangagha
procurer    vede
procurer à quelqu'un    vede cha moutou
profondeur    mouniongui
profondeur    mouyongo
promenade    mou ghenguili
se promener    kemba
promesse    ndagha
promettre    yaghana ndagha
prononcer    tata
propre    cha tseme
protecteur    moukeli
proteger    kala
proverbe    tsatsasa
provocations    bisongui
provoquer    songo
prudent    bouyedi
en public    ya missa mia bata
puce    kassa
puces    bakassa
puissance    lenianga
puits    leteghoula
punaise    imfouoou
punir    keghasse
une pupille    nguegni
pus    mavinia
pygmee    moubongo
python    mbomo
quant à moi    mou ke
quarantieme    cha makoumi mana
quatorzieme    cha lekoumi na bina
quatre    bina
quatre choses    biela bina
quatre hommes    biwa bata bana
quatrieme    bina
quelle importance ?    tondi na ?
quelqu'un    moutou
quelques cases    mandzo make
quelques hommes    bata bane
se quereller    lwana
question    mbigha
question    moudoughou
questions    mambigha
qui ?    na ?
quinzieme    cha lekoumi na bitana
quoi?    biki ?
racine    moukengui
raconteur    mouleli a mamba
raconteur    mouvovi a mamba
radeau    ilindi
radeau    ipegni
radeaux    bilindi
radeaux    bipegni
se raidir    rembougha
sans raison    tondi ve
ramer    doughou
ramper    yende mou lebeli
rancune    penda
garder rancune    kele penda
rancunier    ngapenda
la rangée de    moulongo a ba
une rangée    moulongo
rapidement    mawassa
rasoir    lessamba
faire rassembler    kokassa
rat    poughou
rater    kondo
rats    bapoughou
ravin    mbengue
ravitailler    touma biela
rayons du soleil    misondji mia letedi
rechauffer    tochili
rechercher    sagha
recolter    tolo
recompense    isseki
recompenser    foutou
reconnaitre    djighala
reperer    babongo
redresser    chimboula
reel    mou mbouli
reflechir    tassanga
reflechir    pandza
refus    lebissa
refuser    bissa
regarder    tala
regarder    kengousse
regarder de travers    djikada
region    tsengue
regles    imerendji
menstruations    imerendji
regles abondantes    imbrendji chia lotala
regles douloureuses    imbrendji tchinamogni boukeli
regles frequentes    imbrendji tsou yochi
regles irregulieres    imbrendji matsoghou  make
regles perturbées    imbrendji tswa kada tswa kada
regles prolongées    imbrendji chia ileghi
regret    nguengui
regretter    mono mangdengui
regretter    tchima
regrouper    ba kokassa
rein    lengoundou
relations sexuelles    biledi
remercier    sa lebye la moutou
remodeler    vanga
remplacant    ikissa
remplacants    bikissa
remplir    loussa
remplir    roudassa
remplir    gnetoughe
faire remplir    loloussa
remporter    bagha
rencontrer    kwania
rendre    ghaboussa
reparler à quelqu'un    tata cha moutou
repas    ilamba
repeter    ba sada
replanter    tsoghala
repliquer    a kala cha mamba na
repondre    yaghoula
se reposer    voma
reprocher    sembe
repu    leyotougha
resine    pagha
resister    deda
respect    bouyimba
respect    ighobichi
respecter    ghobichi
respecter    yimboussa
respects    bighobichi
respiration    voma
responsabilité    boukoumou
responsabilité    bouchepa
ressemblance    ifvenichi
ressembler    fwana
faire ressembler    fwanassa
rester    sala
rester    chika
rester au village    ba ghou bola
rester dans un endroit    sala cha i itsegha
rester seul    sala cha boutoubou
retenir    chimea
se retourner    kalagha
retrouver    bakoussa
se reunir    kokouna
reussite    letogha
reussites    matogha
reve    ndoti
se reveiller    sogha
reveiller quelqu'un    sola cha moutou
reves    mandoti
reveur    mouloti
rhumatisme    inwangou
rhumatisme    babimba
rhumatisme    nioutonguengui
rhume    maghoyo
ricaner    chebe
ricaner    sebe
ricaner    kie kie kie
riche    mouyoumounou
riches    miyoumounou
ride    mougnita
rides    mignita
rien    chela ve
rire    lekieki
rire    sebe
rires    makieki
rival    pala
rivaliser    sa cha ipala
rivaliser    louna
riviere    ndzeli
riz    mourechi
robe    irenga
robes    birenga
rocher    lemania
rochers    mamagnia
ronce    mvoukou
ronces    mamvoukou
rond    cha djenguele
rond    guiguidi
rotir    kanga
rotule    indjibougha cha lebongo
rouge    ya eengue
rougir    bengue
rougir    mono tsogni
rouille    maleli
se rouler par terre    kingouda ya toto
rouler quelque chose    kingoussa chela
rouspeter    sa mandzanga
route large    dzela i ineni
rugir    kambagha
sable    mounienga
sac    pengue
sacrifice    lendembi
sacrifices    madembi
sagaie    lekongo
saisir    kyata
saison des pluies    lekesse lou mvoulou
saison sèche    mangala
salir    sa mbinda
salive    late
salives    mate
sang    nguina
sanglier    ngoyi
sangsue    tonga
sans toi    we be
santé    nioutou mbimbidi
se saouler    kolo malamou
etre satisfait    kogha
sauter    vede
sauterelle    popa
sauterelles    bapopa
sauver    yobolo
sauver    potolo
sauveur    mouyobili
sauveur    moupotili
savane    tseghe
savant    moutou a yaba
saynète    ikoumbou
saynetes    bikombou
scie    ighwassa
sciure    fouroufouchi
sciure    fourfouchi
sec    chi cha kania
secouer    popoussa
secouer    tsokouna
secouer    tsokoussa
secousse    tsokouna
sein    lebene
seins    mabene
seizieme    cha lekoumi na bissamouna
sel    moungwa
selle    tchibi
selles    matchibi
semer    niandza
semer à la volee    yede
sentir    yogha
sentir une odeur    yogha cha tsoulou
separer    kaghoula
sept    tsamba
septieme    moutsamba
serpent    tedi
serrer    vika
servir    sada bia
servir le repas    sada bia ndzala
seulement    ndila
seulement lui    ndila nde
si tu n'es pas...    we ve ba...
sifflet    lepele
signe    ilemba
silence    bwo
silence    swi
silence!    badagni bwo
silence    ba byo
silencieux    swi
silencieux    chicha ve na kele
silure    tombi
silure    ngolo
singe    kema
especes de singes !    mapepe !
six    samouna
sixieme    moussamouna
slip    moubeti
soeur    kedi
frere    kedi
soeurs    bakedi
freres    bakedi
soif    peyi a
j'ai soif d'eau    me peya mamba
soigner une plaie    bogha pingui
soigneur    kouboughi
soins indigènes    manganga
soir    moukolo
soixante-dix-septiexe    cha makoumi tsamba na tsamba
soixantieme    cha makoumi massakouna
soldat    mougholo
soleil    letedi
solide    bounono
sommeil    cholo
sommet    manenga
sorcellerie    bouloghi
mauvais sorcier    mouloghi
mauvais sorciers    baloghi
sortie    yi poulili
se sortir d'affaire    pola outso djamba
sortir    pola
sortir    possa
souche    lesseme
souche    lechina
souche d'arbre    ichinda
souches    machina
souches    misseme
soucis    matchimi
souffle    voma
souffler    foulou
souffler en tempete    sa ikoungou
souffler sur le feu    lossa
souffrir    mono  mimbondo
soulager    bocha
se soulager    niaka
soupconner    tessele
source    tsoungou
souvent    ko
souvent    ibebele
sperme    mabota
statue    indjima
statue    koka
sterilite    ingoumou
succeder    doukou
succeder    suivre
succes    letogha
succession    moubiti
succession    oudoukounou
sucer    pipa
sueur    laroghana
suffisant    tchitsa
supplier    vondo
surgir    poloula
surpasser    lota
surprendre    soughassa
etre surpris    somagha
suspect    na ke nde
suspect    nga na ti
suspect    letessele
suspendre    lelaghe
tabac    ivolo
tabouret    kwanga
taille    itele
tour de taille    lebindi
tours de taille    mabindi
tailler    vala
tailler    paka
talon    leghenagnie
tam-tam    ndroungou
tams-tams    mandroungou
tant pis    li ba
tante paternelle    tamoukassa
tante paternelle    tatamoukassa
taro    tsanga
taros    batsanga
petits tas    biboutou
tasser    vi ka
tasser    pepe
tatouage    yimanga
tatouage    leghoumbi
temoin    imouni
tempete    imfoungou
tempete    modkoungou
temps    bouchi
en ce temps là    bouchi ba gho lekessa lena
tendre un piege    teghe mouramba
tenebres    ifoundou
tente    italaka
tente    leboungui landzanda
tenter quelqu'un    sombo
terminer    mana
termitiere    ikoughou
termitiere    ndzo tche didi
termitieres    ndzo batche di di
terre    toto
testicule    moukegni
testicules    mikegni
tetard    letanga
tetards    matanga
hocher la tete    tsokoussa cha moutswe
tique    koba
tiques    bakoba
tire la langue!    doutou lilimi!
tirer    doutou
tirer quelque chose    doutoughou cha chela
tirer un coup de fusil    kiaka cha ndjedi
tirer un coup de fusil    kouna ndjedi
tirer une fleche    pissala  lebechi
tirer vers soi    doukou
tisane    letseghe
tisser    komo
tisser    tounga
toi    we
pas pour toi    mouwe ve
toile d'araignee    ndzo dzanda
toiles d'araignees    missoundji  mia ndzanda
tombe    nguila
faire tomber    raghassa
tomber de sommeil    bonda na cha cholo
tomber du ciel    ragha a mata ghou youlou
torche    mbwagha
donner tort    boma cha issala
tortue    moubouloukou
tortueux    ghodini
toucher    bembe
toujours    lekesse lossi
toujours pour    mou moubou
tourner    djenguele
faire tourner    djenguesse
tousser    kossalo
toussotement    ikossolo
toussotements    bikossolo
tout    biotsi
pas du tout    ki ka pessa ve
tout pres de    ghou panga a
toute la journee    letsoughou  la bouchi
toux    kossolo kossolo
toux interminable    ifenguele
trace    mwanda
traces    mianda
trahir    kabala cha kassa
tkahison    kabalakassa
trainer par terre    bongoussa moutoto
tranquillite    ti nga
transformer    kalagha
transmettre    tochi
transmettre    namoussa
transmettre    tossa tsanga
transpercer    toubou
transpiration    ndzounguili
transpirer    possa cha ndzounguili
transporter    beta
travail    moudianza
travail    issala
travailler    diandza
travailleur    mousseli
travailleur    moudiendji
travailleurs    badiendji
travaux    midiandza
travaux    bissala
faire traverser    saboussa
traverser une riviere    sabagha ndzeli
treizieme    cha lekoumi na pitata
tremblement    lekamba
trembler    tebe
trentieme    cha makoumi matata
tres mauvais    boubi bva loutala
tresser    vanda
tresses    mi vanda
etre triste    roungou
trois    bitata
troisieme    moutata
trompe d'elephant    moutchipa
trompe d'elephant    mbouyi
tromper    tokousso
se tromper    tokouno
tromper par erreur    koutou
tromper quelqu'un    tokousso moutou
trompes d'elephant    bouyi
trompes d'elephant    mitchipa
trou    lebila
trou    mouleka
troupeau    ivanda
trouver    bakassa
se trouver    ba
tu    we
tubercule    ighongo
germe de tubercule    mouti a ighondo
grand tubercule    moudoudou
petit tueercule    mabila
tubercules    bighongo
grands tubercules    midouddu
tuer    boma
tueur    mouboumi
tueurs    baboumi
turbulence    bouvoulou
turbulences    bivoulou
turbulent    ivoulou
turbulents    bivoulou
un    mochi
un paquet    iboutou imochi
une maison    ndzo imo
une personne    moutou moumochi
fils unique    mwana wa lekita
univers    poungou
j'urine au lit    me niaka massoba ghou tengui
j'urine beaucoup    niaka massoba   bovleghi
j'urine goutte à goutte    me niaka massoba letengui-letengu
je n'urine pas    me niaka kassoba ve
j'urine souvent    me niakanga massoba
j'ai mal pour uriner    me monanga boukegni ya me
urines    massoba
va!    yende!
vaccination    mangongo
vagin    tsoto
vagin    levoulou
vagin    pene
en vain    mou ndzolo
je m'en vais vais    me ka mwenda
valise    ighala
vantardise    ndzola
vapeur    moufoudi
la vase    leba
la vase    mbenda
veillée    imogho
veillée    boungossa
veiller    kissa
veiller    mogho
veine    moukengui
avoir de la veine    leke la
avoir de la veine    nioutou boubwe
vendeur    mouchoumbichi
vendre    somboussa
vendre beaucoup    somboussa     mouleghi
vengeance    pela
se venger    kala cha penda
venins    miangoula
vent    levogha
ventre    mogni
ventres    miogni
vents    mavogha
ver    moussobi
verge    lekata
verifier    kengousse imbouli
vérité    imbouli
vernir    nonga
vernis    ilembi
verre à boire    kopo
verre a lunettes    biegni
vers    ghou panga
vers    ghona
versant    sokono ga moukoudi
se verser    yita
verser    yitoula
verser avec precaution    leke
verser dans un verre    seghele
vert    wa ve kania
pas sec    we ve kenia
veste    lengoyi
vetement    lengoyi
vetements    mangoyi
veuf    moukouli
veuve    moukouli
veuvage    moukouli
viande    niama
viande crue    niama woumoubissa
viande de boeuf    ngombo
viande pourrie    niama-bolo
vider    yita
vider un sac    possa chia twa pengue
vieillesse    bounounou
vieillir    nounou
viens    yanga
vieux    inounou
vieux    binounou
vilain    i-bi
vilains    bi-bi
village    bola
village    boula
nouveau village    moupaka
vieux village    leboughou
le village est detruit    bola ba matsamouna
villages    mala
vin    mala
vin de palme    toutou
vingt    makoumi moli
vingt et unieme    cha makoumi moli na imo
vingt-deuxieme    cha makoumi moli bioli
vingtieme    cha makoumi moli
vipere    pili
viperes    bapili
virer    baloula
visite    mono
visiter    koto
visiteur    moukoti
vitesse    moukassa
etre vivant    ba mogni
je suis vivant    me li mwegni
etre vivants    ba miogni
nous sommes vivants    bessa bena le ba miogni
voici    mono
voir    mono
faire voir    mwesse
voir bien    mono bwedi
voir la lumiere    mono iyalala
voir le bien    mono boubwe
voix    ndagha
voix    mandagha
voler    yiba
s'acaparer    yiba
voler dans l'air    doumoughou
volontairement    mou teba
vomir    logha
vomissement    ilogha
vomissements    bilogha
vouloir    sagha
vouloir    tondo
vous    bena
voyage    moudzonga
voyager    kemba
vrai !    gwa !
c'est vrai    mou mbouli
vrai    imbouli
vulve    moutonga
il y a    yi li
j'y vais    me pi yende
j'y vais    me pa yende
il y aura    ka ba
il y avait    a ba
zenith    youlou moutswe
zezayer    yambala ya youlou a lalimi
zoologie    mambou ma baniama
zut!    o!
de	a
il y avait	a ba
il y aura	a ka ba
il y aura une pluie	a ka ba mvoulou
depuis	a mata
ce n'est pas toi	a we ve
non	agha
ce n'est pas ainsi	agni bove
alors	aka
hélicoptère	avion la ingamaba
se trouver	ba
être	ba
être fermé	ba benda
être enfermé	ba benda
être en bonne sante	ba boubwe
rester au village	ba ghou bola
regrouper	ba kokassa
être vivants	ba miogni
être vivant	ba mogni
repeter	ba sada
refaire	ba sada
être debout	ba temoune
être à coté de	ba ya panga a
hommes	ba baghala
mâles	ba baghala
mort-ne	ba bota a kwa
silence!	ba bwo
juges	babandza
les gagnants	babeghi
rhumatisme	babimba
recuperer	babongo
tueurs	baboumi
silence!	badagni bwo
travailleurs	badiendji
argent	badolo
assez d'argent	badolo tchitsa
cinquante	badolo lekoumi
godasses	badrouma
gagner	bagha
grands-parents	bakagha
puces	bakassa
epouses	bakedi
soeurs	bakedi
femmes mariées	bakedi
les autres	bakika
beaux-parents	bako
tiques	bakoba
chefs	bakoumou
retrouver	bakoussa
ancêtres eloignes	bakoutou bakala
eviter	bakala
trouver	bakassa
mauvais sorciers	baloghi
virer	baloula
fiances	bambaka
ignames	bambala
etoiles	bamvoulili
enfants	bana
aval	banda
commencer	banda
descendre à libreville	banda libreville
se baisser	bandana
accrocher	bandougha
freres	bandoumi
s'adosser	bandouna
graines de piments	bandoungou
piments	bandoungou
incliner	bandoussa
adosser	bandoussa
juges	bandza
araignées	bandzanda
fourous	banengue
les proches	bangagha
magnans	banguembi
les grands	bangwabata
animaux	baniama
gibiers	baniama
buffles	baniedi
buveurs	baniouwi
viperes	bapili
maniocs	bapita
sauterelles	bapopa
insectes	bapopogho
rats	bapoughou
poumons	bapoupoudou
travailleurs	basseli
fuir	bata
ces hommes	bata ba
hommes de	bata ba
habitants de	bata ba
quelques hommes	bata bake
autres	bata bana
mettre en fuite	batassa
boucles d'oreille	batchika
ephemeres	batchimba
grands clous	batchongo
poissons	batchwi
myopes	batendi
hommes	batou
hommes d'autrefois	batou pa kala
pieges	batouli
taros	batsanga
petits clous	batsede
aubergines	batseki
pantheres	bavevi
parleurs	bavovi
aboiement	begha
aboyer	begha
environ	bele na
pret à partir	bele na u yende
guerir	belegha
être gueri	beleghe
guerir	belesse
vous	bena
boucler	benda
gravir	bendagha
une montagne	moukoudi
chasser	benga
donner raison	bengassa
rougir	bengue
murir	benguesse
nous	bessa
nous sommes vivants	bessa bena le ba miogni
guider	beta
emporter	beta
conduire	beta
transporter	beta
gaspillage	beyissa
boisson	bi bougnwa
boissons	bianio
animal decoupé	bibete
gibier tué	bibete
vilains	bibi
levres	bipodi
betail	bibodi
carapaces	bibonga
petits tas	biboutou
ancêtres	biboutou
embuscades	bidikou
miroirs	biegni
lunettes	biegni
verre a lunettes	biegni
aliments	biela
ces choses	biela bi
quatre choses	biela bina
fourous	bifoudi
oiseaux	bifoudou
tenebres	bifoundou
poings	bighaba
respects	bighobichi
tubercules	bighongo
dabas	bikanga
infirmes	bikata
quoi ?	biki ?
remplacants	bikissa
toussotements	bikossolo
crachats	bikossolo
habitudes	bikou
coutumes	bikou
mauvais caractère	bikou bipibi
insectes	bikoughou
saynetes	bikoumbou
arracher du sol	bila
relations sexuelles	biledi
âges	bilema
quel âge as tu?	we bilema kwe ?
machettes	biletale
radeaux	bilindi
vomissements	bilogha
fetiches	bilongo
medicaments	bilongo
dechets	bimba
herbes	bimba
être gonflé	bimba
entiers	bimbi
patates douces	bi mongo
quatrieme	bina
quatre	bina
quatre hommes	bina bata bana
vieux	binounou
ce sont lesquelles ?	bio bighi ?
deux fois	bioli
deuxieme	bioli
deux	bioli
tout	biotsi
radeaux	bipegni
borgnes	bipipidi
robes	birenga
provocations	bisongui
refuser	bissa
abdiquer	bissa
travaux	bissala
grimaces	bissamouna
habitants de	bissi bola
cachettes	bisweghi
cinq	bitana
trois	bitata
clefs	bitchepi
chenilles	bitchitsouda
marchandises	bitsada
turbulences	bivoulou
turbulents	bivoulou
ce sont lesquels ?	bo begni ?
grandir	bogha
soulager	bogha
soigner une plaie	bogha pingui
casser	boghoulo
cogner	bola
donner des coups de baton	bola bakondo
donner des coups de poing	bola bighaba
giffler	bola leboto
grand village	bola bou bouneni
mouiller	bolo
pourrir	bolo
abattre	boma
donner tort	boma cha issala
donner tort	boma chia issala
tuer	boma
angoisse	bomo
la crainte que j'ai	bomo bou me li na bvo
aborder	bondo
adorer quelque chose	bondo chela
quelque chose	chela
quelqu'un	moutou
adorer quelqu'un	bondo moutou
prier quelqu'un	bondo cha moutou
dormir	bondouna
tomber de sommeil	bonda na cha cholo
gaspiller	bonga
prendre	bongo
prendre la parole	bongo cha ndagha
nourrir	bongoula
trainer par terre	bongoussa moutoto
mouche tse-tse	bosso
accoucher	bota
faire accoucher	botessa
bouillon	botighi
faire bouillir	botighi
concubinage	bou mbaka
mal	boubi
mauvais	boubi
très mauvais	boubi bwa loutala
gencive	boubita
bonté	boubwe
beauté	boubwe
beau	boubwe
douceur	boubwedi
responsabilité	bouchepa
temps	bouchi
lumière	bouchi
en ce temps là	bouchi ba ghou lekessa lena
le jour se lève	bouchi boukia
le jour se couche	bouchi bouyila
tous les jours	bouchi na bouchi
bienveillance	bouchichi
comment?	bougni ?
comment dit-on ?	bougni ba lele ?
doucement!	bouke-bouke!
générosité	boukebi
méchanceté	boukegni
douleur physique	boukegni
adultère	boukeli
belle-mère	bouko ba moukassa
beau-père	bouko bwa lebaghala
belle-mère	bouko bwa moukassa
veuvage	boukouli
responsabilité	boukoumou
égoïsme	boukoussou
village	boula
folie	bouledi
beaucoup	bouleghi
plus	bouleghi bwa totala
lourdeur	boulema
lourd	boulema
une chose lourde	boulema bwa chela
glue	boulimba
malédiction	bouloghi
sorcellerie	bouloghi
brusquement	boumboudou
bétise	boundjili
cervelle	boundzou
gros	bouneni
large	bouneni
grand	bouneni
veillée	boungossa
enfance	bounguebe
jeunesse	bounguebe
solide	bounono
vieillesse	bounounou
cécité	boupipidi
candeur	boupogho
jeter	boussou
jeter au loin	boussou vala
arc	bouta
longueur	boutele
court	boutele boukoubi
douceur	boutsogha
sans violence	boutsogha
nuit	boutsoughou
audace	bouvoto
turbulence	bouvoulou
prudent	bouyedi
malin	bouyedi
intelligence	bouyedi
esprit	bouyedi
miel	bouyi
dignité	bouyimba
respect	bouyimba
juste	bwedi
bien	bwedi
ajouter	bwesse
multiplier	bwesse
silence!	bwo !
rond	cha djenguele
être plein	cha kogha
quatorzième	cha lekoumi na bina
douxième	cha lekoumi na bioli
seizième	cha lekoumi na bissamouna
quinzième	cha lekoumi na bitana
treizième	cha lekoumi na bitata
dix-huitièmee	cha lekoumi na pombo
dix-septième	cha lekoumi na tsamba
wadix-neuvième	cha lekoumi na
léger	cha lengue
quarantième	cha makoumi mana
soixantième	cha makoumi massamouna
cinquantième	cha makoumi katana
trentième	cha makoumi matata
vingtième	cha makoumi moli
vingt-deuxième	cha makoumi moli na bioli
vingt et unième	cha makoumi moli na imo
soixante-dix-septième	cha makoumi tsamba na tsamba
clair	cha tendeghe
propre	cha tseme
ce	che
corbeille	chebe
ricaner	chebe
chef	chefa
miroir	chegni
chose	chela
machin	chela
chose cherie	chela cha moutema
neuf	chela cha na mandza
nouveau	chela cha na mandza
plus rien	chela ka ve
pas du tout	chela pessa ve
rien	chela ve
néant	chela ve
ceci	chena
chef	chepa
gazelle	cheti
mesure	chetse
sec	chi cha kania
entier	chi ibimba
entièrement	chi ibimba
cru	chi ibissa
ce qui cache le devant	chi isweghe ghoutsoboussou
entièrement	chi dutchi
être pourri	chi ya bole
affiler	chiba
silencieux	chicha ve na kele
sans limite	chicha ve na mandila
rester	chika
affirmer	chiloula
s'appuyer légerement	chima
herbe	chimba
retenir	chimba
se dresser	chimbougha
redresser	chimboula
parler fort	chimboula ndagha
pipe	chindza
confirmer	chinga
mettre d'accord	chinga
être d'accord	chinga
accorder	chinga
croire	chinga
s'appuyer	chingana
grogner	chingoula
faire croire	chingassa
celui-ci	chinichi
entièrement	chiossi
sommeil	cholo
resister	deda
flatterie	dede
s'incliner	dengoune
patate douce	dengue
ployer	denguene
se pencher	denguene
fléchir	denguene
faire ployer	denguesse
travailler	diandza
lac	djanga
tourner	djenguele
faire tourner	djenguesse
