a    de
bwedi    juste
bwedi    bien
bwesse    ajouter
bwesse    multiplier
bwo !    silence!
cha djenguele    rond
cha kogha    être plein
cha lekoumi na bina    quatorzième
cha lekoumi na bioli    douxième
cha lekoumi na bissamouna    seizième
cha lekoumi na bitana       quinzième
cha lekoumi na bitata       treizième
cha lekoumi  na pombo        dix-huitièmee
cha lekoumi na tsamba       dix-septième
cha lekoumi na wadix-neuvième
cha lengue    léger
cha makoumi mana    quarantième
cha makoumi massamouna    soixantième
cha makoumi katana    cinquantième
cha makoumi matata    trentième
cha makoumi moli    vingtième
cha makoumi moli na bioli    vingt-deuxième
cha makoumi moli na imo    vingt et unième
cha makoumi tsamba na tsamba    soixante-dix-septième
cha tendeghe    clair
cha tseme    propre
che    ce
chebe    corbeille
chebe    ricaner
chefa    chef
chegni    miroir
chela    chose
chela    machin
chela cha moutema    chose cherie
chela cha na mandza    neuf
chela cha na mandza    nouveau
chela ka ve    plus rien
chela pessa ve    pas du tout
chela ve    rien
chela ve    néant
chena    ceci
chepa      chef
cheti     gazelle
chetse    mesure
chi cha kania    sec
chi ibimba    entier
chi ibimba    entièrement
chi ibissa    cru
chi isweghe ghoutsoboussou    ce qui cache le devant
chi dutchi    entièrement
chi ya bole    être pourri
chiba    affiler
chicha ve na kele    silencieux
chicha ve na mandila    sans limite
chika    rester
chiloula    affirmer
chima    s'appuyer légerement
chimba    herbe
chimba    retenir
chimbougha    se dresser
chimboula    redresser
chimboula ndagha    parler fort
chindza    pipe
chinga    confirmer
chinga    mettre d'accord
chinga    être d'accord
chinga    accorder
chinga    croire
chingana    s'appuyer
chingoula    grogner
chingassa    faire croire
chinichi    celui-ci
chiossi    entièrement
cholo    sommeil
deda    resister
dede     flatterie
dengoune    s'incliner
dengue     patate douce
denguene    ployer
denguene    se pencher
denguene    fléchir
denguesse    faire ployer
diandza    travailler
djanga    lac
djenguele    tourner
djenguesse    faire tourner
djibougha    fermer
djiboula mounio    ouvre la bouche
djighala    reconnaître
djikada    regarder de travers
djima    s'éteindre
djima    s'effacer
djimoussa    effacer
djimoussa    éteindre
djinga    entourer
doko    guetter
doko    picorer
dou-dou-dou    goutte à goutte
doudou    grande cuillère
doudou    pâle
doughou    pagayer
doukou     succeder
doukou    suivre
douma    gronder
doumoughou    voler dans l'air
doussoulou    epiler
doussala    epiler
doutou    tirer vers soi
doutou    tirer
doutou cha ivolo    fumer
doutou lilimi!    tire la langue!
doutoughou cha chela    tirer quelque chose
dzela i ineni    route large
dzoughou    fatigue extrême
è      oui
foudoughou    plumer
foukoussou    blanchir
foulou    souffler
foulou    interroger
foundza    mettre à la porte
fourfouchi    sciure
fourfouchi    miette
fouroufouchi    sciure
foussou    debilité
foutou    recompenser
foutou    payer
foutou cha miogho    croiser les bras
foyo    boîte de conserve
foyo    boîte
foyo    caisse
fwa    finir
fwala    france
fwana    ressembler
fwanassa    faire ressembler
fwanassa    comparer
fwanoussa    faire ressembler
galedi    fou
ghaboussa    rendre
ghada    attacher
ghassa na    être maigre
ghassa    maigrir
ghassana    craquer
ghata    gratter
gho na    là-bas
ghobichi    respecter
ghobosso    honorer
ghobachi    être modeste
ghodini    tortueux
ghodouchi    plier
ghodouchi mabongo    plier les genoux
ghodounou    couver
ghodoussou    anéantir
ghogho    bras
ghogho    bras entier
ghogho    la manche
ghokoulo    essuyer
ghona    vers
ghongoulo ndzeli    longer une rivière
ndzeli    rivière
ghou kassa    à la gauche
ghou ketia youlou    à haute voix
ghou mbedi    dehors
ghou panga    vers
ghou panga a    tout pres pe
ghou youlou    en haut
ghou youlou    en l'air
ghou youlou a    au-dessus
ghoulou    pneu
ghoumbogha    chez
ghoutouhou    manifestation bruyante
ghweke    grincer
ghwekesse    faire grincer
gnengoussa    initier
gnengoussa    faire entrer
gnetoughe    remplir
gnetoughe    s'eparpiller
gnetoule    elargir
gnetousse    eparpiller
gni ngassa    introduire
gnigha    écraser
gnigoula    penétrer
gningoula!    entre!
gningoula    entrer
guiguidi    rond
gwa!    vrai!
i-bi    vilain
iba    ananas
ibadanga    canard sauvage
ibagha    mur
ibamba    blanc
ibanda    peau
ibanda    peau de bête
ibanda    clan
ibebe    muet
ibebele    souvent
ibedi    moitié
ibende    pian
ibendaka    colline
ibene    haine
ibida    chouette
ibiki    bois du foyer
ibimba    dette ancienne
ibimbiti    abcès
ibimi    cadavre
ibindili    fermeture
ibondouna    fléchir
ibonga    carapace
ibonga cha lemvoungou    coquille d'oeuf
iboutou    ancêtre
iboutou imochi    un paquet
icheke    herisson
ichiba    antilope dormante
ichili    lezard
ichinda    souche d'arbre
ichoumbi    anus
idikou    embuscade
idjinga    durée d'une action
ifenguele    toux interminable
ifoudi    fourou
ifoudou    ténèbre
ifoudou    oiseau
ifoudounganga    papillon
ifoundou    estomac
ifwenichi    ressexblance
ifwenichi    comparaison
ighaba    poing
ighala    valise
ighele    branche du palmier
ighobichi    respect
ighodo    canard domestique
ighongo    tubercule
ighoughoudou    caisse d'emballage
ighwassa    scie
ikakou    gibier    dépecé
ikanga    daba
ikata     infirme
ikegni    nouveau-né
ikegni cha mwana    nouveau-né
ikiba    etouffer
ikiengue    bouton de gale
ikissa    remplacant
ikokboulo    balai
ikossolo    toussotement
ikossolo    crachat
ikou    coutûme
ikou    habitude
ikoughou    termitière
ikoughou    insecte
ikoukou    épaule
ikoumbou    saynete
ikouyi    albinos
ikwanga    baton de manioc
ilamba    repas
ileba    erreur
ilemba    signe
ilemba    indice
ilemba    signe
ilembi    vernis
iletale    machette
ilindi    radeau
ilogha    vomissement
ilondji    limace
ilongo    fétiche
ilongo    plaine
ilongo    médicament
iloubi    guêpe
imagha    miracle
imbamba    brusquement
ibamba    avec brutalité
imbeghi    moitié
imbouli    vérité
imbouli    vrai
imbrendji    règles
imbrendji    menstruations
imerendji chia ileghi    règles prolongées
ikbrendji chia lotala    règles abondantes
imbrendji matsoghou make    règles irregulières
imerendji tchinamogni boukeli    règles douloureuses
imbrendjitsou yochi    règles fréquentes
imbrendji tswa kada tswa kada    règles perturbées
imfoudou    punaise
imfoungou    tempete
imogho    veillée
imongo    patate douce
imoulou    miracle
imouni     témoin
inama    cuisse
indenga    célibataire
indjibighi    se fermer
indjibougha    porte
indjibougha cha lebongo    rotule
indjili    bête
indjima    image
indjima    statue
indongo    lieu secret
ineghili   échelle
ingamba    dame-jeanne
inganda    polygamie
ingoumou    stérilité
ingoungou    lion
inounou    vieux
inwangou    rhumatisme
ipegni    radeau
ipele    flatterie
ifenga    famine
ipepidi    aveugle
ipfoundou    tenebres
ipipidi    borgne
iponga    flacon
ipoundili    coussinet
irende    bandelette
irende    pansement
iromba    robe
iromba    ile
issala    travail
issangangoubou    livre
issangangoubou    feuille de papier
isseki    recompense
issoukou    piquet
issoupou    étui pour couteau
isweghi    cachette
itagha    chavirer
itaka    branche d'arbre
italaka    tente
itchepi    clef
itchitsada    chenille poilue
itchitsouda    chenille
itele    taille
itengue    assiette
itengue chi ineni    cuvette
itetele    une etendue
itoughi    injure
itoukou!    pauvre couillon!
itsaka    campement de brousse
itsegha    lieu
itsigha    sans limite
itsokiatsoki    hoquet
itsoukou    lignee familiale
ivanda    troupeau
ivanga    abcès
ivanga    etable
ividi     cicatrice
ivigha    pari
ivindou   ébène
ivivi     mouche tsé-tsé
ivolo     tabac
ivonda    notable
ivongo    épidémie
ivoughou    crapaud
ivoulou    indiscipline
ivoulou   turbulent
iyedi     intelligent
iyende    distance
ka    aussi
ka na bwedi    au revoir
ka na bwedi    porte-toi bien
kaba    depenser
kaba    partager
kabala cha kassa    trahir
kabalakassa    trahison
kagha    grand-parent
kagha    s'accrocher
kagha    mordre
kagha    mémé
moukassa     grand-mère
kaghala    separer
kaghoula    separer
kaghoussa    diviser
kaghoussa    caler une table
kakala    arracher
kala    proteger
kala cha mamba    repliquer à
kala cha penda    se venger
kalagha    se retourner
kalagha    transformer
kalagha    devenir
kalagha    changer
kalagha    transformer
kama cha moutema    mépriser
kambagha    se facher
kambagha    rugir
kambougha    blamer
kambougha    se facher
kamou    fermement
kamouna    presser
kana    bouton de gale
kanga    grille
kanga    griller
kanga    rotir
kassa    puce
kassala    dechirer
katouna    plaquer
katouna    coller
katoulla    être collé
katoussa    plaquer
katoussa    coller
kaya    crier
kechi    méchant
kechi   colère
kechi ve    pas méchant
kedi    soeur
keghasse    punir
kekeli    couché
kekeli    allongé
keki    foudre
kele    bruit
kele    garder
kele    patienter
kele    attendre
kele penda    garder rancune
kele a katekbi    bruit de pas
keli    amer
kema    singe
kema    s'etonner
kemba    voyager
kemba    se promener
kemogha    être etonné
kokouna    se reunir
kokoussa    faire rassembler
kokassa    faire rassembler
kokassa    grouper
kola    se deshabiller
kolichi    adoucir
kolo    douceur au toucher
kolo    faiblesse
kolo malamdu    se saouler
kolousso    amollir
koma    monter
koma    monter
youla    monter au-dessus
komo    tisser
komoussa    faire monter quelqu'un
kona    planter
kona bapita    planter le manioc
kondo    n'en plus pouvoir
kondo    rater
kondza    paille
konga    graine d'oseille
kongui    cil
konogho    être dans un etat maladif
konoussa    abaissement
konoussa    abaisser
kopo    gobelet
kossolo kossolo    toux
kossalo    tousser
kena    danser
kena moubeka    danser toute la nuit
kendza    intention
kengousse    regarder
kengousse imbouli    verifier
kenguele    précautionneusement
kesse    decouper
kesse    couper
kesse    juger
kesse ivigha    faire un pari
keti    milieu
ki chela ve    encore rien
ki ka pessa ve    pas du tout
kiaka cha ndjedi    tirer un coup de fusil
kiba    faire la navette
kie kie kie    ricaner
kima    different de
kingouda ya toto    se rouler par terre
kingoussa chela    rouler quelque chose
kissa    veiller
kita    manquer
kita    louper
kitoussa    succeder
kitoussa    remplacer
kitoussa    manquer 
ko    souvent
koba    tique
koba    heurter
koba libaka    heurter un obstacle
koboula moufoundou    epousseter
kogha    être satisfait
koka    statue
kouba lengoyi    s'envelopper
kouboulo    balayer
koubati    brusquement
koue    action
kougni    bois pour le feu
koulou    chimpanzé
koumbi    forêt lointaine
koumbou    nom
koumou    employeur
koukou    fleur comestible
koumou    chef
koumoussou    glorifier
koumoussou    louer
koundoulou    découvrir
kounou    jalousie
kounana    descendre
koussou    perroquet
koutou    tromper par erreur
koutoulou    inculper
koutoulou    accuser
kwa    déceder
kwa ndzala    affamer
kwada    mourir
kwada cha niamba    s'évanouir
kwamba    ceinture
kwanga    tabouret
kwanga    brancard
kwanga    abattre quelque chose
kwanga nioungui    abattre la plantation
kwania    rencontrer
kwata    saisir
kwata    attraper
kwe ?    combien    ?
kwele    marier
kweloune    se marier
laba    jurer
lagha    montrer
lala    s'accoupler
lamba    bouillir
lata    arracher
lata    deraciner
leba    la vase
lebaghala    masculin
lebaghoula    garcon
lebamba    liane
lebanda    piège
lebanda    début
lebanda la pita    manioc préparé
lebanga    criquet
lebata    machette
lebechi    flèche
lebeghi    dessein
lebendji    cote
lebene    sein
lebila    trou
lebimbi    mort subite
lebindi    tour de taille
lebissa    refus
leboka    joue
leboko    champignon
lebolo    fertile
lebondo    prière
lebongo    genou
lebota    naissance
leboughou    vieux village
leboumbou    fumier
leboungui    brouillard
leboungui    nuage
leboungui landzanda    tente
leboungui landzana    toile d'araignée
leboutou    graine
lebwe la we    merci
lebala    annoncer
lechana    balle de fusil
lechina    souche
lechina    origine
lefoutou    cendre
legha    empecher
legha    interdire
leghenagnie    talon
leghobo    dignité
leghobousso    obéissance
leghoumbi    tatouage
lekaba    portion
lekabou    générosité
lekaka    main
lekaka    genre
lekaka la baniama    genre animal
lekaka la bata    genre humain
lekamba    tremblement
lekassa    le marché
lekata    verge
lekata    partie sexuelle de l'homme
lekata    pénis
lekaya    feuille
leke    faire chauffer
leke    verser avec précaution
leke    bouillir
leke la    avoir la chance
lekelesse    mémoire
lekesse lossi    toujours
lekesse lou mvoulou    saison des pluies
lekieki    le rire
leklha    cri
lekinda la matembi    bruits de pas
lekinga    cou
leko    banane
lekokouna    bégaiement
lekomoussa         augmentation
lekomoussa          élevement
lekonda    pigeon
lekongo    sagaie
lekougni    bille de bois
lekoukou    cheville
lekoumi    dix
lekoumi na imo    onze
lekwele    mariage
lela    pleurer
lelanga    ananas
lele    dire
lele    annoncer
lele kala    mentir
leleghe    se pendre
lelelagha    palais de la bouche
lelengue    citrouille
lelobo    hamecon
lelolo    papaye
lelouchi    citron
lelaghe    suspendre
lemania    caillou
lemania    rocher
lemania    pierre
lemania la moukwete    pierre à briquet
lembaka    concubinage
lendembe    piège à oiseaux
lendembi    sacrifice
lendji    prix
lendjita    lien
lendjita    noeud
leneni    grand
lengassi    bague
lengobiki    crochet
lengoundou    rein
lengoyi    veste
lengoyi    vêtement
lenguesse    se hater
lenguesse    desobeir
lenianga    le pouvoir
lenianga  autorité
leniang    apuissance
leniogni    esprit
lepa    impot
lepala    patte
lepela    cuvette
lepele    sifflet
lepembe    pain
lependa    arachide
lepepi    aile
lepepi la mbeda    l'aile de l'aigle
lepi    lampe
lepita la ranga    chiffre
lepoungou    parapluie
lepoungou    chauve-souris
lerambou    nombre
leriki    filet de pêche
lessaba    conte
lêssaba    fable
lessamba    rasoir
lesseme    souche
lessighala    menace
lessogha    manière
lessossobouton    avec pus
lessoumbou    achat
letagha    fesse
letanga    tetard
letchwi    oreille
letedi    heure
letedi    soleil
letedi leka keti a keti    midi
letedi li temoune    aurore
leteghoula    puits
letembi    pied
letekbi    jambe
letekbi    chaussure
letembi le leneni    grande jambe
letende    écriture
letengue    esprit
letengui    goutte
letengui la nguina    goutte de sang
letengui-letengui    goutte à goutte
letessele    un suspect
letogha    succès
letogha    reussite
letondo    amour
letoto    banane douce
letseghe    tisane
letsoughi    cheveu
létsoughou la bouchi    toute la journée
letsoughou lemochi    ephemere
levakba    enfant terrible
levassa    jumeau
levassa    jumelle
levedi     hypocrisie
levichi    un os
levida    haine
levogha    vent
levoulou    vagin
levova     menace
levovo    dialogue
leya    arrivée
leyotougha    indigestion
leyotougha    répu
leyoukou    poignet
le youlou    nez
languepi    pagaie
lapanga    omoplate
laroghana    sueur
late    crachat
lateghala    fontaine
li napindza    être fort
li ba    tant pis
libongui    brousse inexplorée
lichinga    filet de chasse
likoumi    dixième
lilimi    langue
lilongo    peuple
limba    chant
limba    chanson
limbida    charbon
litoki    pate
logha    vomir
logha koumbou      nommer
logho    maudire
logho    jeter un sort
lokana chia    descente
lalo    aujourd'hui
loloussa    faire remplir
longo    conseiller
lassa    attiser
lassa    souffler sur le feu
lassa cha mbwagha    attiser le feu
lota    depasser
lota    passer
lata    surpasser
loto    camion
loto la lasso ba bata    navette
loto lo lota    le camion passe
lotola    abonder
loubechi    morceau de bambou
louna    rivaliser
loussa    remplir
loussosso    furoncle
louswe    piège
louswede    lieu secret
louta moughoudou    faire allusion
lwembe    craie
lwana    se quereller
lwata    habiller
lwata lengoyi lekima    changer de vêtement
lwatoussa    s'habiller
lwatoussa    habiller quelqu'un
lwebi    corde d'un panier
mabanga    criquets
mabata    machettes
mabaya    planche
mabeda    maladie
mabeda    malade
mabeda ma cholo    maladie du sommeil
mabena mataba    lait de chèvre
mabene    seins
mabigha ma mabi    malédictions
mabila    petit tubercule
mabindi    tours de taille
mabinga    innocent
mabita    gencives
maboka    joues
mabomo    marchandises
mabongo    geuoux
mabota    sperme
maboungui    nuages
machina    souches
machina    origines
madembi    sacrifices
mafoutou    cadeau
mafoutou    paiement
mafwa    dot
mafwa    l'indiscipline
maghoyo    rhume
makaka    mains
makakala    braise
makaya    feuilles
makaya ma mouti    feuilles d'arbres
makayaba    poisson salé
makedi    lèpre
makieki    rires
makima    cris
mako    bananes
makongui    cils
makoulou    carrefour
makoumi mole    cent francs
makoumi moli    vingt
makoussou    latrines
mala    mensonge
mala    vin
mala    villages
mala    faux
mala    confluent
maleli  rouille
malengue    citrouilles
maloumbi    félicitations
mama    maman
mamagnia    pierres
mamania    rochers
mamba    eau
mamba ma ma togho   eau qui boue
mambangou    campements de pygmées
mambedi    couteaux
mambedi-mabicoto    machettes
mambenda    calebasses
mambigha    questions
mambou ma baniama    zoologiie
mamegha ma ke    parfois
mamvoukou    ronces
mana    finir
mana    achever
mana    terminer
mana mala    terminer le vin
mala    le vin
mandagha    les voix
mandeda    arbe
mandembe pièges à oiseaux
mandila    limites
mandila    frontières
mandjedi    fusils
mandogho    maledictions
mandoti    rêves
mandroungou    tams-tams
mandzi    maintenant
na mandzi    maintenant
mandzo    maisons
mandzo make    quelques cases
mandzolo    cadeaux
manenga    sommet
mangala    saison sèche
manganga    soins indigènes
mangongo    angoisse
mangongo    vaccinations
mangoyi    vetements
manguengui    douleurs morales
maniada    ongles
manioungui    plantations
manondzo    dieu
manoussa    achever
mapala    pattes
mapi bi    hâches
mapita    maroues
massa    enlever
massa ibanda    dépiauter
massoba    urines
massosso    boutons avec pus
matagha    fesses
matanga    tetards
matchibi    les selles
matchimi    fidélités
matchimi    soucis
matchwi    oreilles
mate    salives
mate    crachats
matembi    pieds
matembi    jambes
matengue    esprits
matengui ma nguina    gouttes de sang
matogha    réussites
matoto    bananes douces
matsala    plumes
matsanga    les nouvelles
matsanga    larmes
matsetsengui    miettes
matsetsengui ma pembe    miettes de pain
matsodi    pieds d'une table
matsongui   piqûres
mavamba    enfants terribles
mavichi    les os
mavibia    pus
mavogha    vents
mawassa    rapidement
mayagha    feuille de manioc
mayoulou    cieux
mba-tse    entièrement
mbaghala    à droite
mbaka    fiancé
mbaka    concubine
mbala    igname
mbangou    campement de pygmées
mbachi    flèches
mbeda    aigle
mbedangui mbedi    hier
mbedi    demain
mbedi    couteau
mbedi a mbedi    ici et là
mbedi-icoto    machette
mbeghi    ami
mbela    appel
mbele    corbeille
mbenda    calebasse
mbenda    la vase
mbendji    côtes
mbengue    ravin
mbigha    question
mbinga    chasse au filet
mbissa    dos
mbissa mbedi    après demain
mbogha i bouvoma    lieu de repos
mbogha voma  lieu de repos
mbokoulo    coude
mbomo    python
mboungou    mortier
mboungou    bateau
mbouugou    pirogue
mboungou i itagha    la pirogue  chavire
mboutou    graines
mbouyi    trompe d'éléphant
mbwagha    torche
mbwagha    feu
mbwagha    lumière
me    je
me    moi
me    c'est moi
me ka mwenda    je m'en vais
me li    je suis
me li wiegni    je suis vivant
me monanga boukegni ya me    j'ai mal pour uriner
me mwene    moi-même
me niaka massoba bouleghi    j'urine beaucoup
me niaka massoba ghou tengui    j'urine au lit
me niaka massoba letengui-letengui    j'urine goutte  à goutte
me niaka massoba ve    je n'urine pas
me niakanga massoba    j'urine souvent
me pa yende    j'y vais
me peya mamba    jai soif
me pi yende    j'y vais
medi    huile
medi    graisse
megha    gouter
mengue    fil d'un couteau
mfoughou    coiffer
mfoulou    poudre de chasse
mfoundzou    chasser quelqu'un
mfweghi    environ
mfwelili    glissade
mianda    traces de petits animaux
miangoula    venins
miassala    baillements
mibanga    machoires
mibeka    manifestations
midiandza    travaux
midjagha    marigots
midoudou    grands tubercules
mignita    rides
mikama lekoumi    mille
mikama mioli    mille francs
mikama miola    deux cents
mikegni    testicules
mikiakia    aurores
mikokolo    chevrons
mikouchi    pets
mi koungou    poils
mikouyi    fantômes
milelaghe    ceintres
milemba    doigts
mimanga    mangues
mimba    chants
mina    dents
mina    avaler
mina  cha koughi    jeûner
miniomi  cruches en terre
minombi    les noirs
miogho    les bras
miogho na miogho    être bredouille
miogni    ventres
miondro    manioc
mipamou    jugements
miramba    pièges
misondji mia letedi    rayons du soleil
missa mia vengougha    loucher
misseme    souches
misseme    origines
missengue    parassoliers
