à la mode    édzam énga lorang
chaud    ay’ông
chauffage    ngüine ave ay’ông
chauffeur    nduru metua
chaussure    ékondé
chaussure    ngôp
chauffer    abo ayô’ng 
chauffer    éneayô’ng
chausser    abwar mengop
chavirer    akubelane
chef    ndzüè
chef    nkúkuma
chef    sifú
chef de gare    mot adzüiè essime nkong
chef de train    é mot adzüiè nkong
cheminer    awule 
cheminer    agnüèmebô 
cheminer    akebatebe
chemin    zen
chemise    éwomane
cher    táng abé
cher    mbéa táng
chercher    adzeng
chéri    okeng obeme éngóng
chérie    okeng obeme éngóng
cheveu    essí
cheveu    essil
chèvre    ékela
chien    nvú
choisir    atob
ciel    yôp
cigarette    cigha
cime    mezongbe
cimetière    ntsimessong
cinquante    mewômmetane
clair    énghengheng
clé    essap
clé    édzibgha
client    émot assom dzôm
cliente    émot assom dzôm
clinique    oguarfila
clinique    owarfila
clou    sen
cochon    ngüi
cochon    ngüign ntangane
cœur    nlem
cœur    nnem
coin    essúnda
coin    mboghasí
colère    ôlún
colère    ayaa
colis    atóm
combien?    tang na?
comme    ane
comme    aval
comme tu veux    ane wakôme
commencer    assum
comment?    nandzé?
comment ça va?    nvogh?
commérages    bidzôdzô
commérages    bitiètiè
commérages    ôtéé
commérages    fóp
communiqués    mimbana
communiqués    mintúne
compagnie aérienne    mbana anon bikiègn
composer    afir nome
complet    ndzalane
compter    àláng
conduire    aduru
conducteur    nduru
confession    atú minsem assu Zame
confirmer    assugh a si
confirmer un voyage    abane ékena
confortable    medjè-medjègn
confortable    mbeng
connaître    ayem
conseil    melebgha
conseiller    alep
conseiller    ave melebgha
consignes    melebga
contredire    abo bisso
contrôleur    émot afas bidzango
construire    along
content    avakh
contester    kayebe dzam
continuer    ake ossu
continuer    atsine
conversation    minláng
convaincre    avena mot ayebe dzam
coq    nnômkú
corne    nlàkh
corps    gnol
corps    gnû
côté    fefel
côté    nfag
coton    sùtt
cou    kîng
cou    tying
couper    akikh
couper    atyikh
cour    nseng
courage    ayokh
courrier    kalara
courir    amare
courir    ake mbil
court    étùne
couteau    okeng
couteau de chasse    zok bám
coûter    aküign tang na
coutume    fulu
coutume    éyem
couvercle    éburegha
couvrir    aburu
cracher    atú menden
