à la mode    édzam énga lorang
tamponner    ave ndem
tancer    ayâ mot
tanguer    ateng
taper    ayir
tas    avís
tasse    élasse
tasse    kóp
témoin    mbogle
témoin    ngagnia
temps    éyòng
temps    tám
tenir    abign
tenir    abele
terre    sí
terrible    ayokh
terrible    ébubua
tête    nlô
téter    àgnáng
tissu    étô
tomber    aku
tomber    aku siassuglane
tonnerre    zaláng
toucher    aname
toucher    abign
toujours    éyòng esse
toujours    kom esse
tourner    akinglane
tourner    abokh
tousser    aküè
traduire    atsinane
traduire    akalane
trahir    akuan
trahir    assomane
tranquille    nvogh
tranquille    évôvuègn
tranquille    na-mieng
travail    essègn
traverser    adang
traverser    atulane
traverser    alôr
tribu    ayòng
tribunal    aba medzô
tribunal    aba otet
tricoter    atsing
triste    ôlun
tromper    adukh
tronc    nkukhélé
trou    ébégn
trou    mbil
trou    along
trouver    akoane
trouver    ayén
tuer    ayüign
ulcérer    awokhabbé
ululer    alóng
un    fo
unifier    alar angôm 
unifier    atobe vôm bo
uniformiser    abo anval dá
union    angom
unique    akîkh
unique    sugha
unique    mbo-mbo
unir    alar angôm 
unir    atobe vôm bo
urbaniser    akom 
urbaniser    alóng mbeba menda
urger    aboavó 
urger    akeavó
urine    megnôrôgô
uriner    avüègn megnôrôgô
usé    étúkh
user    andamane
utile    éban
utiliser    abelan
vacciner    abonvang
vache    égnakh
vaciller    akobe abüign megnu 
vaciller    kabebela
vadrouiller    ake awulu 
vadrouiller    a deng
vagabonder    a dzeng étobga
vagin    nvel
vagin    ébôn
vagir    akogh ébíl
vaincre    adang 
vaincre    akun
valdinguer    atsirane
valider    ayebe
valise    éwola
vallée    minko
valoir    ake táng 
valoir    éban
se valoir    abele éban
valoriser    abere oyó 
valoriser    atobe mebun
valser    atsirane mot vôm
vampiriser    avengane mot nsagha 
vampiriser    abo bwó
vaniteux    éngung
vaniteux    éngelezekh
vapeur    ntsütsü
vendredi    nkuléwôngha
venir    azu
venir    asso
vent    nfungha
ventre    abum
vérité    bebela
verre    élasse
vers    éfa
vert    zoghobon 
vert    mendzaa 
vert (qui n'est pas mûr)    ekekesse
veste    ékôt
veste    ékôr
veuf    nkùs
veuve    nkús
viande    tsít
vie    égning
vierge    éndun
vieux    nnôm
ville    kisson
vin    meyokh
voie    zen
voir    ayén
voie lactée    ndzong be kúma
voiture    metua
voix    king
voix    tying
voler    ayele
voler    awup
vouloir    ayi
vouloir    akômô
vouloir    agnamle
vous    mina
voyage    ékena
voyage    dulu
vrai    bebela
vraiment    bebela
vraiment    bebela fogo
zapper    assangle
zester    avâ ékôp
zieuter    awâ dzis
zigouiller    ayüign
zigzaguer    abo ônghenghena
zoner    anîng ane moan gnûl
zoomer    anen bikang 
zoomer    avem biyema
zozoter    abira dzo be z
zyeuter    awâ dzis
avec    a
et    a
pour    a
pour    a
par    a
corps de garde    aba’a
dépecer un animal    aba tsít
livre    aba sikolo
répéter    abaglane
machette lourde et épaisse    abakúgna
étui    abám
planche    abàm
kolatier    abangakh
plaine    abare afan
mauvais    abé
laid    abé
sein    abégn
cuisse    abègn
arbre à copal    abel
arbre à copal    ébel
plantation    abeng
porter la viande    abeghe tsít
fumer les animaux    abere tsít ofutt
excrément    abí
crotte    abí
naissance    abiale
un peu    abím
testicule    abine
malédiction    abira
pieds    abo
assurer    abo dzam bebela
allumer ses phares    abogh bilam metua
danse    abókh
rapt    abóm
morceau    abong
tronçon    abong
à l’instant même    abong di
il y a peu de temps    abong ébe va
araignée    abôp
beaucoup    abüign
étouffement    abukh
faire demi-tour    abulane ônvús
ventre    abum
croire    abune
dire    adzô
éteindre    adzím
éteindre ses phares    adzím bilam metua
lourd    adzìtt
exprimer quelque chose    adzô dzam
donner son opinion    adzo dzam assimane
gouverner    adzüè
forêt    afane
aile    afáp
feuille    afep
épais    afíp
étanche    afíp
paquet    afúnda
colis    afúnda
plantation    afúp
boire    àgnú
boire un médicament    àgnú biang
prendre des comprimés    àgnú bibuma
zut !    aka !
ordalie    akagha
promettre    akagh dzam
grâce à    akal
pourquoi ?    akal ndzé
parce que    akal nâ
motif    akalga
défendre    akame
fesse    akane
raconter    akangle
informer    akar fuègn
philanthrope    akáp
part    akáp
jusqu’à    akeküign
au point où    akeküign
aller faire des achats    ake ékassa
immigrer    ake éyâ si
circoncision    ákele
bijou    akena
bague    akena
chasser avec les chiens    ake nsôm ye be nvú
bijou en argent    akena miang
bijou en or    akena ngos
anneau    akena ye onú
alliance    akena balughane
bracelet    akena y’énam
chaîne    akena babwar kîng
intelligent    akeng
intelligence    akeng
œuf    akî
œuf de poule    akí kú
œuf de canard    akí sogh
œuf de crocodile    akí ngane
globe de cuivre    aki ngoss
œuf d’oiseau    akí onôn
merci    akiba
fils unique    akîkh
parler    akobe
dialoguer    akobe
déclarer    akobe dzam
ajouter    akoglane
pierre    akokh
roc    akokh
réparer    akóm metua
legs    akomegha
lance    akong
flêche    akong
poteau    akôn
pilier    akôn
lance    akong
virage    akuát
déraper    akubelane
main    akû
pied    akû
patte    akû
bord    akukh
bout    akukh
tas d’ordures    akún
hibou    akúng
fou    akútt
folie    akútt
chasse-mouches    akpwa
chasse-mouches    apwa
vipère    akpwé
vipère    apwé
tendre les pièges    alam melam
cloche    alanga
converser    alèè minlang
parler    alèè minlang
palmier    alén
conseiller    alep
indiquer    alere zen
se remettre    alet
oreille    alo
baragouiner    alop
trou    along
construire une hutte    alông ébem
klaxonner    along tong
dépasser    alor metua
doubler    alor metua
nuit    alú
mariage    alukh
noce    alukh
car    amu
parce que    amu
tout de suite    ana-ana
remorquer    andine metua
mangue    andókh
balafon    andzáng
ambiance    anvonga
amitié    anvüign
bouche    anyu
taille    angherghe
boîte    angonga
se peigner    apwègn nnô
se brosser les cheveux    apwègn essí
opérer    assale
opérer    assa
se faire opérer    assale
se faire opérer    assa
changer de vitesse    assangle be nôme
changer une roue    assangle nka metua
soigner    assègn
manifester    assi ndzong
penser    assimane
interviewer    assili mot minsili
critiquer    assokh
acheter    assôm
privatiser    assomane mbana
vendre    assomane
dent    ass’ông
se laver les cheveux    assob essí
visage    assú
face    assú
figure    assú
maladroit    assukh
ignorant    assukh
malhabile    assukh
s’occuper de    assurane
soigner    assurane
dehors    atán
hors de    atán
commencement    ataregha
salive    atégn
salive    até
discuter    atèè minlang
s’arrêter    atele metua
se garer    atele metua
élire    atob
colis    atôme
supprimer    atsàme
abolir    atsàme
expliquer    atsinane
loi    atsíng
nœud    atsíng
mentionner    atsile
jouissance    avakh
joie    avakh
louange    avakh
ainsi    aval
comme    aval
donner de la bénédiction.    ava metégn
légiférer    ave metsing
causer    ave
légaliser    ave firma
légaliser    assane
argumenter    ave fuasse
prendre le carburant    ave karassine metua
valider    ave kúgna
appuyer    ave kúgna
soutenir    ave kúgna
pousser    avem
croître    avem
trou    aveng
blessure    aveng
froid    avep
frais    avep
pus    avine
être contre    avine dzam
s’opposer    avine dzam
être raciste    avine é bot bevokh
être xénophobe    avine beyeng
vite    avôô
rapide    avôô
graisse    avong
voter    avot
se lasser de    avor
enfler    avússe
s'enfler    avùsse
commettre une infraction    avus atsing ye ndzong
vacances    awâgane
repos    awâgane
mettre la crème à cheveux    awagh mbwane essí
se maquiller    awagh nkô bivula
heure    awalà
peinture    awalá
amitié    awogane
entente    awogane
mort    awú
faire un bandage    ayale fô’ô
bander    ayale fô'ô
calvitie    ayán
chauve    ayán
serpent vert    ayáng
long    ayáp
être pour    ayebe dzam
convenir avec    ayebe dzam
affirmer    ayemle
insister    ayemle
expliquer    ayile
sens    ayile
faire marche arrière    ayir ônvús
reculer    ayir ônvús
courage    ayòkh
bravoure    ayòkh
intrépidité    ayòkh
tribu    ayòng
clan    ayòng
amer    ayô’ô
amertume    ayô’ô
chaud    ay’ông
chaleur    ay’ông
à minuit    azang
ils    ba
préservatifs    bendama
chansons    biâ
chants    biâ
pirogue    bial
médicament    biáng
remède    biáng
aspirine    biáng nnô minssim
vitamine    biáng ategh gnû
somnifère    biáng ôyo
Grand-Nord    bibulu patrie d’antan
pastilles    bibumá comprimés
nourriture    bidzí
repas    bidzí
malheur    bidzim
malchance    bidzim
manière    bidzang
coquetterie    bidzang
accusation    bidzô
boisson alcoolisée    bilám
affaires    biom
choses    biom
fournitures scolaires    biom bi sikolo
doute    bissô
hésitation    bissô
perplexité    bissô
guerre    bita
conflit    bita
jeux    bivüign
cerveau    bo’o
cervelle    bo’o
gros    bura
énorme    bura
nu    chichègn
nudité    chichègn
nue    chichègn
gratuit    dásse
récompense    dásse
frivolité    débélè
diable    débélè
rebelle    débélè
plus tard    dén
tout à l’heure    dén
nuque    do
nuque    dol
docteur    dokira
médecin    dokira
dentiste    dokira messông
chirurgien    dokira assale bot
nombril    dop
louange    duma
gloire    duma
réputation    duma
nid    duma
événement important    dumu
événement important    dume
village    dzâ
village    dzal
chose    dzam
affaire    dzam
village natale de la femme    dzang
corbeille en liane tressé    dzatt
quoi ?    dzé ?
obscurité    dzibi
œil    dzisse
chose    dzôm
truc    dzôm
machin    dzôm
appellation    dzü nom
nez    dzügn
houe    ébàkh
daba    ébàkh
otage    ébán
motte de terre    ébang
caillot    ébang
fagot    ébang
pâte    ébasse
pâte    éba
cabane d’enfants    ébem
hutte    ébem
mépris    ébiasse
gobelet    ébiergha
pourri    ébo'o
pourri    ébol
corossol    ébom
raclée    ébôm
fessée    ébôm
assiette creuse    édôgdôkh essua
concubin    ébon
concubin    ébuane
vagin    ébône
bénédiction    éborane
fruit    ébuma
trop    édeda
beaucoup trop    édeda abüign
profond    édokh
mortier    édóng
chaleur    édudúkh
sueur    édudúkh
latrine    édúkh
fosse sceptique    édúkh
bruit    édung
séduisant    édzii
chambre    édzina
chambre pour une personne    édzina mot mbo
chambre pour deux personnes    édzina bot be bègn
chambre à deux lits    édzina ébele binong bibègn
bouchon    édzingha
passoire    édzôm baleng dze
environ    éfa
morceau    éfasse
moitié    éfasse
moitié    éfá
moitié    éfá
autre    éfe
mot    éfia
verbe    éfia
ressemblance    éfonane
clarté    éfufup
marmite en fer    égníng
presse-fruits    égnore bibuma
macabo    ékabane
panier    ékatt
vert    ékes
vert (non mûr)    ékekes
fragile    ékesse
cassant    ékesse
interdit    ékî
tabou    ékî
emprunt    ékôla
dette    ékôla
banane plantain    ékon
chaussure    ékondé
gobelet    ékpwa
toux    éküè
tuberculose    éküè
pneumonie    éküè
lumière    élam
anus    éláng
insolence    élàng
désinvolture    élàng
verre    élasse
arbre    élé
bois    élé
crachat    élekh menden
paresse    élesse
paresseux    élesse
tamis    éleng
lac    éliba
robe    élinga
filet    éloa
herbe    élókh
bague    éluana
grande fête    élulua
grande cérémonie    élulua
très large    éndamdam
vaste    éndamdam
devise    éndán
généalogie    éndán
punition    éndegle
souffrance    éndegle
pénitence    éndegle
beaucoup    énemenemane
pitié    éngôngol
arbre à fruits rouges sucrés    éngong
odeur    éngnum
lit    énong
lit en bambou    énong biyeng
lit à une place    énong mot mbo
lit à deux places    énong bot be bègn
petit lit d’enfant    énong moan
porte-monnaie    épwokítt
trousse    épwokítt minkôs
père    essa
clef    essap
travail    essègn
foie    essekh
à moitié    essèkh
grande saison sèche    essep
cheveu    essî
cheveu    essil
désert    essí ébele abüign nsegle
gare routière    essìm metua
chat    essinga
bourgeon    essókh
pousse    essókh
conciliabule    essóg
aparté    essóg
assiette    essua
seul    étám
solitaire    étám
petit fumoir    étáng
claie    étáng
dedans    été
gombo    étetám
chaise    éto
demeure    étobegha
habitation    étobegha
à l’instant même    éto dzi
tout de suite    éto dzi
faute    étòm
palabre    étòm
infraction    étòm
adolescent    étóng
jeune    étóng
vieux    étúkh
vieillerie    étúkh
usagé    étúkh
épaule    étû
épaule    étul
asticot    étúm
microbe    étúm
morceau    étùne
demi    étùne
bout    étùne
serpillière    étsi si
serpillière    étsi mebo
torchon    étsi mmo
vers    étune
rivalité    évâ
rivalité    éval
insomnie    évévégn
veillée    évévégn
insomnie    évévé
veillée    évévé
soif    évé’é
rouge    évele
légèreté    évevesse
léger    évevesse
noir    évine
silence    évól
silencieux    évól
taciturne    évól
silence    évô’ô
silencieux    évô’ô
taciturne    évô’ô
sorcellerie    évú
sorcier    évú
balai    évüa
balai    évuégha
balai en branches de palmier    évuégha melen
ample    évugvugh
faute    évusse
maladresse    évusse
vent    évungle
douche    éwobane
salle de bain    éwobane
fort    éwôlô
robuste    éwôlô
samedi    éwôngha
marché    éwôngha
faux kolatier    éyabel
assiette plate    éyâyâ essua
poêle    éyáng mbwane
lèvre    éyiá
quand    éyòng
moment    éyòng
temps    éyòng
fois    éyòng
maintenant    éyòng dzi
tout de suite    éyòng dzi
au chant de la perdrix    éyòng opwal ossua oke lóng
au premier chant du coq    éyòng nnôm kú aye lóng
ouvre-boîtes    éyüiè bingóng
décapsuleur    éyüiè mendekh
carte magnétique    éyüiè mimbègn
bagarre    ézezàm
méchant    ézezàm
désordonné    ézezàm
grande quantité    ézukh
machette    fa
France    Fala
derrière les cases    faregha
aussi    fe
avocat    fia
rat    fô
nouvelle    fuègn
annonce    fuègn
information    fuègn
papayer    fofo
papaye    fofo
légume    folóng
photo    foro
français    fulassi
caractère    fulú
habitude    fulú
coutume    fulú
stupide    fulusse
abruti    fulusse
bête    fulusse
encre    gnela
serpent    gnô
chaussure    gòp
lune    gone
machine    güine
part    gàp
pangolin    ká
habile    káa
adroit    káa
adresse    káa
robe longue et large    kaba
robe longue et large    kaba ngôna
ne pas vouloir se réveiller    ka kôme kore si
avoir des insomnies    ka buru dzisse
ne pas pouvoir s’endormir    ka ko oyô kal
sœur    kal
tel ou tel    kala si kala ka
pétrole    karassine
livre    kalara
lettre    kalara
bouquin    kalara
cahier    kalara sikolo
sans    keghe
matin    kíkírí
cuisine    kissine
ville    kisson
ville    kissôn
capitale    kissôn ossua
grande ville    kissôn nden
banlieue    kissôn éne ngergha
non    koko
fantôme    kône
poisson    kos
perroquet    kôs
perroquet    kôsse
singe    kpwégn
poule    kúp
poulet    kú
poulet    kúp
poule    kú
espace    làme
grand espace    làme
lampe    láme
là-bas    lí
toujours    mbè-mbè
éternel    mbè-mbè
change    maga
grâce    maga
bonheur    maga
change    magh
grâce    magh
bonheur    magh
carrefour    magane
bifurcation    magane
mer    máng
océan    máng
allumette    massis
artisan    mba
sculpteur    mba
dépeceur d’animaux    mba betsít
gardien    mbagle
garde    mbagle
blessure    mbakh
tatouage    mbakh
frisson    mbàm
persévérance    mbán
insistance    mbán
message    mbana
nouvelle    mbana
défense d’éléphant    mbáng
bon    mbeba
bien    mbeba
tambour vertical    mbègn
porte    mbégn
chute    mbekh
beau    mbeng
bon    mbeng
joli    mbeng
mauvais    mbéa
méchant    mbéa
laid    mbéa
mauvaises herbes    mbéa bilogh
médicaments    mebiang
jumeau    mbiasse
trou    mbii
fosse    mbii
trou    mbil
fosse    mbil
cadavre    mbim
macchabée    mbim
prisonnier    mbòkh
prison    mbòkh
bonjour    mbôlô
paquet    mbom
colis    mbom
belle-fille    mbóm
bru    mbóm
huile    mbone
huile    mbwane
manioc    mbóng
pli    mbot
ride    mbot
année    mbú
pauvre    mbubuá
misérable    mbubuá
femme enceinte    mbubúm
orgueil    mebún
fierté    mebún
suffisance    mebún
relation sexuelle    medzangane
adultère    medziane
informations    mefuègn
départ    meke
astuces    mekeng
ruses    mekeng
conseil    melebegha
recommandation    melebegha
entrée    megni
sang    mekí
sortie    mekui
oreilles    melo
désobéissant    melo
têtu    melo
salive    menden
eau    mendzim
balafon    mendzang
lait    megnáng
murmures    megníng
chuchotements    megníng
miettes    megnùng
matière    megnùng
pêche    messamà
lutte    messìng
retour    messo metáng
venue    messo metáng
tarifs    metáng
mathématiques    metáng
salive pour bénir    metégn
terre    metekh
taxi    metuá
voiture    metuá
joie    mevakh
réjouissance    mevakh
vin    meyokh
boisson alcoolisée    meyokh
sperme    meyôm
horaires    mewalà
nouveau    mfefègn
neuf    mfefègn
sage    mfefekh
intelligent    mfefekh
avisé    mfefekh
poche    mfekh
pochette    mfekh
couverture    mfinga
couette    mfinga
saint    mfufup
sacré    mfufup
divin    mfufup
beau-frère    miale
belle-sœur    miale
beau-frère    nmè
argent    miang
silencieusement !    mieng !
nouvelles    mimbana
communiqués    mintún
mensonge    minâ
tromperie    minâ
duperie    minâ
mensonge    minal
tromperie    minal
duperie    minal
femme    minenga
exil    minkabane
déportation    minkabane
bannissement    minkabane
beau-parent    minkî
nuages    mimkúr
galaxie    minkúr mi aki
brouillard de matière    minkúr megnung
contes    minláng
récitations    minláng
discussions    minláng
colportage    minsokh
commérage    minsokh
souffrance    mintègn
douleur    mintègn
peine    mintègn
démangeaison    mintsang
gale    mintsang
plantation    miyeng
pêche    minyop
les yeux    mis
regard    mis
lunettes    biyéne
lunettes    mis mintangane
un Fang    moan Fang
un Gabonais    moan gabonais
un Guinéen    moan guinéen
un Français    moan fulassi
un Allemand    moan dzamane
un Anglais    moan ngess
un Américain    moan américa
un Ntumu    moan ntumu
un Mekè    moan mekè
un Béti    moan beti
un Bulu    moan bulu
un Mvègn    moan mvègn
un Okak    moan okak
enfant    mon
enfant    moan
jeune    mong
enfant    mong
petit    mong
jour    mos
homme    mot
personne    mot
cache sexe    mpwàm
bonté    mvam
bon    mvègn
bien    mvègn
agréable    mvègn
pluie    mveng
bon    mvogh
bien    mvogh
paix    mvogh
dette    mvôla
emprunt    mvôla
chance    mvóm
initié    mvón
pacte amoureux    mvón
chien    mvú
chien    nvú
muet    mvukh
perte de la parole    mvukh
que    na
comment ?    na
ainsi    nale
de cette façon    nale
oui    nale
mère    nane
brume    nchègn
pet    nchign
maison    ndá
case    ndá
salle de bains    nda bawobane
salle de classe    nda sikolo
bibliothèque    nda bekalara
laboratoire    nda bedzeng
salle des Professeurs    nda beyegle
bibliothèque    nda mebakh
laboratoire de langues    nda beyeghe minkobe
cantine    nda bong be sikolo badzi
réfectoire    nda bong be sikolo badzi
gymnase    nda bivüign
cafétéria    nda bidzí
large    ndam
ballon    ndama
flacon    ndekh
petite bouteille    ndekh
marque    ndem
signe    ndem
accent    ndem
c’est pourquoi    ndemben
conducteur    nduru bengüine
facteur    nkab bidzango
maison    nda
hôpital    nda mebiang
prison    nda mimbokh
commissariat de police    nda bizima
hôtel    nda beyeng
infiniment grand    ndalame
cosmos    ndalame aki
devin    ndendé
sourd    ndokh
malentendant    ndokh
frère    ndóm
jeune homme    ndomane
adolescent    ndomane
gourmand    ndondókh
glouton    ndondókh
sourd    ndôndókh
mal entendant    ndôndókh
piqûre    ndôndo
aiguille    ndôndo
piment    ndôndô
feu    nduan
sueur    ndugle
bataille    ndúm
lutte    ndúm
dispute    ndúm
chauffeur de voiture    nduru metua
pilote d'avion    nduru onôn bikiègn
complet    ndzalane
plein    ndzalane
rempli    ndzalane
médicament efficace    ndzelele
mou    ndzem
faible    ndzem
timide    ndzem
chercheur    ndzeng
fouilleur    ndzeng
fermé    ndzibane
clos    ndzibane
qu’est-ce que-c’est ?    ndzidzi
aveugle    ndzím
aveugle    ndzidzím
ciseaux    ndzó
traîtrise    ndzóng
trahison    ndzóng
route    ndzóng
rue    ndzóng
voie Lactée    ndzong be kúma
fatigue    atekh gnoul
pénible    ndzùkh
peine    olùn
peine    ndzùkh
malheur    ndzùkh
difficile    ndzùkh
grotte    nfa
sac    nfeck
sac    nfack
cartable    nfack sikolo
sac à dos    nfack sikolo
fermé    nferane
nouveau    nfefègn dzam
neuf    nfefègn dzam
vent    nfunga
n’est-ce pas ?    nga ?
témoin    ngagnia
épouse    ngâ
femme    ngal
fusil    ngal
cérémonie de guérison    ngang
sorcellerie    ngbwel
si    nghe
queue    ngüiem
féticheur    nghengáng
guérisseur    nghengáng
peut-être    ngheng ézing
véritable    ngna
réel    ngna
corps    ngnól
corps    gnû
cheveux blancs    ngnúkh
cru    ngnumi
non cuit    ngnumi
oiseau de malheur    ngofio
cri prémonitoire    ngofio
soir    ngôghasse
soirée    ngôghasse
tambour    ngom
porc-épic    ngôm
concombre    ngón
mois    ngon
lune    ngone
demoiselle    ngone
menstrues    ngone
force    ngû
puissance    ngû
pouvoir    ngû
force    ngul
puissance    ngul
pouvoir    ngul
entier    ngura
total    ngura
silhouette    ngüiyesse
roue    nká
interprète    nkalane
traducteur    nkalane
grand feu    nkaba nduane
squelette    nkanga
fouet    nkásse
bâton    nkásse
examen    nkatt
test    nkatt
concours    nkatt
mâchoire    nkekh
manche à outil    nke’e
manche à outil    nkel
bébé    nkengle
nourrisson    nkengle
bracelet    nkîp
parole    nkobe
discours    nkobe
langue    nkobe
langue fang    nkobe fang
langue espagnole    nkobe pagna
langue anglaise    nkobe ngess
langue allemande    nkobe dzamane
langue française    nkobe fulassi
langue ntumu    nkobe ntumu
langue mekè    nkobe mekè
langue béti    nkobe beti
langue bulu    nkobe bulu
canne à sucre    nkókh
tronc d’arbre    nkòkh
stérile    nkôkôm
malade    nkôkón
colline    nkô
montagne    nkôl
corde    nkol
fil    nkol
train    nkòng
stylo    nkôs
crayon    nkôs
sécheresse    nkôt
pendule    nkuala ye nfine
horloge    nkuala ye nfine
montre    nkuala y’éname
montre de poche    nkuala y’épwokitt
réveil    nkuala wavéé bot ôyo
chronomètre    nkuala baker we mbi
tordu    nkuatt
faux    nkuatt
ananas    nkuba
orage    nkulu
brouillard    nkútt
nuage    nkútt
célibataire    nküègn
panier    nkpwégn
hotte    nkpwégn
rare    nkwal
célibataire    nkwé
célibataire    nkwégn
pauvre    njejègn
misérable    njejègn
village    nlam
histoire    nláng
récit    nláng
cœur    nlem
cœur    nnem
débroussaillage    nliane
défrichage    nliane
fût    nligha
tonneau    nligha
mouche    nló
rang    nlong
rangée    nlong
ligne    nlong
marié    nlugane
gros    nnen
énorme    nnen
étranger    nneng
invité    nneng
hôte    nneng
sorcier    nnem
époux    nnóm
mari    nnóm
vieux    nnôm
numéro    nòme
rivage    nsákh
alignement    nsama
ensemble    nsama
pièce de monnaie    nsáng
sentence    nsang
sorcier    nsang mbwel
étonnement    nsemane
respect    nsemane
cour    nseng
cour de récréation    nseng sikolo
question    nsili
nerf    nsísse
veine    nsísse
vaisseau    nsísse
esprit    nsissím
âme    nsissím
arrivée    nsoane
venue    nsoane
lavage    nsôbane
lavement    nsôbane
handicap mental    nsoghe-kí
diffamation    nsokh
calomnie    nsokh
médisance    nsokh
caché    nsolane
commerçant    nsomane biom
chair    nsône
corps    nsône
viande    nsône
taille-crayon    nsone minkòsse
taille-crayon    nsone minkòsse
ver    nsóng
pointe    nsòng
pointu    nsòng
pénis non circoncis    nsosso
pénis non circoncis    nsossol
poison    nsú
dot    nsua
rassemblement    nsulane
ignorant    nsussúkh
maladroit    nsussúkh
noir    nsut
noir    nsur
chat noir    nsur essinga
homme noir    nsur mot
homme blanc    ntangane
plainte    ntate
gémissement    ntate
cadavre abandonné    ntchign
longueur    nté
créateur    nté
fût    ntegha
tonneau    ntegha
branche    ntem
rameau    ntem
palme    ntem
trait    nten
raie    nten
rayure    nten
paresseux    ntetekh
faible    ntetekh
incapable    ntetekh
met copieux que l’on réserve à un hôte    ntetegh
cent    ntett
siècle    ntett mimbú
seigneur    ntí
homme libre    ntí
tresse de femme    ntokh
bouillonnement    ntokh
l’aîné    ntól
foulard    ntôm
chapeau    ntôm
coiffeur    ntôm
mouton    ntôma
gale    ntsáng
bouton    ntsáng
mûri    ntsighâne
sage    ntsighâne
écrivain    ntsili bekalara
rédacteur    ntsili bekalara
traduction    ntsimane
interprétation    ntsimane
solide    ntsíp
dur    ntsíp
tenace    ntsíp
percé    ntuane
troué    ntuane
crevé    ntuane
diarrhée    ntüi
diarrhée    ntüigha
pilon    ntúm
canne    ntúm
bâton    ntúm
cuisinier    nyam bidzí
cimetière    ntsi messong
arc-en-ciel    ntutum
campement    nvane
peigne    nvasse
bon    nvègn
pluvieux    nveng
pluie    nveng
sous la pluie    nveng sí
morceau de bois    nvible
nom générique des Fang    nvokh ékang
ensuite    nvu-nvu éte
mort    nwú
victime    nwú
mort    nwuan
voyageur    nwulu
aventurier    nwulu
voleur    nwuwúp
scientifique    nyem mam
ouvert    nyüane
adversaire    nzizíng
ennemi    nzizíng
épervier    obàm
razzia    obán
incursion armée    obán
constipation    obang
bikini    obati
culotte    obati
short    obati
slip    obati
un peu plus    obeghebekh
pigeon vert    obeng
colombe    obeng
guide    obîgle
vêtement en écorce    obom
célibataire endurcie    obóm
herbe    obut
pelouse    obut
rivière    ochign
claquement de doigt    odakh
haut et mince    odedekh
quand ?    oden ?
gravier    odokh
petit piment    odo’o
vin de maïs    odontol
sauvage    odú pigeon
lieu mémorial dans la migration    odzamboga
avant-hier    odzán
short    odzar
short    odzat
pic    ofakh
plantoir    ofakh
enquête    ofasse
réflexion    ofasse
analyse    ofasse
autre    ofe
petite information    ofôfuègn
chuchotement    ofôfuègn
petit morceau    ofufusse
bureau    ofisse
bureau du professeur    ofisse nyegle
agence    ofisse ye okira
raisin rouge    ofosse
sale    ofufua
orange    ofümi
jus d’orange    ofümi
fumoir    ofutt
minuscule    ognegnam
natte    okala
de même âge    okala
tapis de sol    okala ye onakh a si
piment    okám
cache sexe    okane
bosquet    okáng
bois    okáng
feuille d’arbre    okègn
feuille de plante    okègn
léger    okekep
mince    okekep
flottant    okekep
couteau    okeng
couteau à double tranchant    okeng obele zep ébègn
commerce    okira
demain    òkírí
demain matin    òkírí kíkírí
là    okó
compte-rendu    oko bikoro
fleuve    l'okano
département    l'okano
maladie    okon
aucune maladie    okon-a-okon
hémorroïde    okon ye nnenang
épidémie    okon ya koane
ouragan    okôs
perdrix    opwâ
perdrix    opwal
ièvre    okpeng
autrefois    okua
nord    okü
stupide    okúkútt
épilepsie    okulbe
maigre    okótt
messong carie    okon
alcoolisme    okon meyokh
bougie    ola
piège    olám
rougeole    olara
profit    olègn
bénéfice    olègn
riz    oles
riz à la viande    oles ye tsít
riz au poisson    oles kos été
qui ne dure pas en relation avec les femmes    olilii
prisonnier    olò
captif    olò
parfum    olobina
étroit    ololo’o
baguette    ololo’o nfema
saut    ollôm
fourchette    olúm
mauvaise humeur    olun
respect    olughu
louange    olughu
gloire    olughu
très grande guerre    omane bot
très grande guerre    omane
petite casserole    omômone mvé
le jour    omòs
la journée    omòs
tente    onákh
revolver    ondôlô
fusil    ondôlô
piqûre    ondondo
piment    ondôndô
beaucoup de choses    ongamelane
agité    ongheneghena
petit    onghergüett
étroit    onghergüett
hier matin    ongôgh kíkírí
hier après-midi    ongôgh goghasse
nerveux    onghegasse
rossignol    ongokon
pioche    ongone-ngone
résistant    ongôngôtt
crevette    ongosse
hôpital    onguarfila
dispensaire    onguarfila
clinique    onguarfila
oiseau    ônon
avion    ônon bikiègn
doigt    onú
orteil    onú
sittelle    onvekh
anguille    onvóng
en arrière    ônvús
derrière    ônvús
grand calao à casque noir    ongúng
gazelle    opwông
atanga    ossá
prune    ossá
casse à dents    ossa mbòng
honte    ossama
embarras    ossama
thé    ossang
citronnelle    ossang
estomac    ossàng
thé au citron    ossang y’alosse
écureuil    ossen
imagination    ossimane
honte    ossón
piste    osso zen
chemin    zen
piste    zen
clitoris    ossòt
en face de    ossû
devant    ossû
d'abord    ossua
d’abord    ossussua
avant    ossú nzok
mouche tsé-tsé    ossún
parapluies    otán
chauve-souris    otán
ride    otár
froncement des sourcils    otár
qui ne grandit pas assez    otchign
tire-bouchon    otégn
pince    otégn
pas à pas    oteghetekh
lentement    oteghetekh
étoile    otétégn
autrefois    oto’o
pie    otogh
lent    otong
ruisseau    otông
source    otông
petit ruisseau    otôtông
encens    otsá
fumée    otsira
turbulent garçon    otôr mong
moto    otôtôô
mobylette    otôtôô
encens    otú
vieillard (homme)    otu yôm fam
vieil homme (homme)    otu yôm fam
vieillard (femme)    otu yôm minenga
vieille femme (femme)    otu yôm minenga
