om̂wana e pa dyóla    l'enfant n'est pas arrivé à terme
keriza awana mboredu    avoir des enfants un peu partout
om̂wana w'aniva    un esclave
om̂wana wi ntǿina    un fils libre
mbwa n'awan'iwè    la chienne et ses petits
awana w'aguwu    des rejets d'ananas
om̂wandja    à cause de
om̂wandja    en faveur de
om̂wandja    par égard pour
om̂wandja    au sujet de
om̂wandja    pour une affaire de
g'om̂wandja wa mandè?    pour qui?
toliz'ikuge g'om̂wandja w'aṉambyè    secourir les pauvres pour l'amour de dieu
my'abya go kamba n'awè g'om̂wandja w'owaro wam̂i    je suis venu te parler au sujet de ma pirogue
om̂wandja    par la faute de
om̂wandja    sous prétexte que
my'afelo go ntȼogo n'om̂wandj'iwó    j'ai été mis en prison à cause de toi
nung'oma mpungu n'om̂wandja wa sidólè    intenter un procès à quelqu'un pour une prétendue somme d'argent
om̂wandja-m̂wandja    toiture
om̂wandja-m̂wandja    toit
om̂wandjam̂wandja w'apugo    la toiture est mise
om̂wanga    fer
om̂wanga    acier
om̂wanga    arme
imyanga yi nwëna    des armes
om̂wang'oyóle    de l'acier
om̂wang'olèle    de la fonte
krusu y'om̂wanga    une croix en fer
om̂wanga wi fize ntȼone    une manivelle
tum̂'oma om̂wanga    blesser quelqu'un avec une arme aiguë
imyanga yi dyandjin'ikèngè    des outils de menuiserie
imyanga yi pesin'ododo    les poids d'une balance
om̂wanga-w'inem̂e    fœtus
om̂wanga w'iṉem̂e w'asódun'è    elle a fait de fausses couches
om̂wangala    serpent vert des bananiers
anèró n'awango    les grands et les petits
mi pare om̂wango    je suis encore jeune
o pare om̂wango ombe    tu es encore trop jeune
ogóli om̂wango    une petite corde
ilond'imyango    de petits fruits
om̂wanto    femme
om̂wanto olonga ni eve    la première femme fut eve
om̂wanto w'inóngó    une femme des tribus de l'intérieur
om̂wanto w'om̂wan'iwam̂i    ma bru
oyombo w'anto    la polygamie
dwana n'om̂wanto    avoir des relations avec une femme
om̂wa-rerè    sœur ou frère consanguin
om̂wavïryè    canard siffleur
om̂wa w'atanda    echo
om̂wèga    clapotis qui se manifeste à l'arrivée du flot
om̂wèga w'adimbini    il y a du clapotis
om̂wèï    chaleur solaire
dyógó om̂wèï w'apóna    je partirai quand il fera moins chaud
om̂wèï    aspirer
om̂wèï w'adèli    le soleil baisse
imyèï yi bamba intȼugu sinó    les chaleurs qu'il fait ces jours-ci
om̂wèï wi bamba polo ozamba winó    le soleil donne fort de ce côté-ci
om̂wèï wi kanda myè g'antȼó ngâ    le soleil me fait mal aux yeux
sómbun'om̂wèï    se mettre à l'ombre
sómbun'om̂wèï    se mettre à l'abri du soleil
fel'om̂wèï    respirer
simby'om̂wèï    retenir son haleine
