ibam̂i    dignité
ibukwè    gros bouton ulcéreux
ibukwè    pian
ibumba    sachet à fétiches
bany'ibumba g'ompombana    suspendre un sachet à fétiches à la porte
ibumbulu    concombre sauvage
ibumbulu    plante grimpante à feuilles vomptives
ibûna    abondance
ibûna    grand nombre
akóndó m'atweni ibûna g'ande    il y a abondance de bananes
mpongwè wi zele ibûna ṉènè    les mpongouès ne sont plus nombreux
ndo isam̂u ibûna    je voulais y aller, mais mes nombreuses occupations (m'en ont empêché)
ibun'ayena    action de voir souvent
ibun'ayena    action de travailler souvent
ibunga ṉi ndjiko    la huppe de l'ombrette
ibundu    rainette
ibundu    petite grenouille verte
ibwè    guépard
ibya    arrivée
ibya    venue
ibya    bien
ibya    vertu
ibya    beau
ibya    bon
iby'isam̂i só sinó    je viens d'arriver
dyandj'ibya    faire le bien
dyandj'ibya    pratiquer la vertu
idyembo ibya s'adyógó myè    les beaux chants que j'ai entendus
ite ida s'ateno myè    les grandes lattes de raphia que j'ai coupées
ida    long
ida    grand
idanduno    rédemption
idanduno    rançon
idanduno s'anaga    la rédemption du genre humain
idava    longueur
idava    long
erere mèzónó zi re idava    cet arbre est grand
idava g'odoko    grand comme une perche
idèla    sans consistance
idèla    tendre
idèla    faible
iba ṉinó ṉi re idèla    cette mangue est blette
ibowa idèle s'apaginondó g'epondom̂a    les plumes moelleuses que tu as mises dans ton oreiller
idèmbinya    adoration
idèmbinya si dèmbinyo aṉambyè    l'adoration due à dieu
idènge    trouvé
idèle    mou
idèle    facile
idèle    tendre
idewîna    soupçon
idewîna    soupçonneux
idewîna    imagination
onanga, ipikily'isè sodu si kènda go sidewina    onanga est agité de toutes sortes de soupçons
onanga, ipikily'isè sodu si kènda go sidewina    l'imagination d'onanga travaille beaucoup
idira    pesanteur
idira    lourdeur
idira    pesant
idire    pesant
idire    lourd
ido    pierre
ido    roche
ikon'idire s'atombino myè    les lourdes bûches que j'ai soulevées
mbora y'ado    un terrain pierreux
okondo w'ado    un tas de pierres
okondo w'ado    un monceau de pierres
pak'ado    tailler des pierres
ado mi ningo    des grêlons
ado m'om̂wandja-m̂wandja    des tuiles
ado mi kandine nago    des carreaux
ado mi kandine nago    des pavés
ado mi kandine nago    des dalles
ido ṉi ndjali    pierre à fusil
ido ṉi ndjali    silex
ido ṉi porina    meule à aiguiser
ido ṉazo    notre village
idódina    action de jeter un coup d'œil
idódó    goutte
idódó    point
idódó ṉ'aningo    une goutte d'eau
idódó ṉi ntchina    une goutte de sang
nango y'adódó    tout médicament qui se prend goutte à goutte
tum̂'adódó    faire des points
idógó    poils de certaines parties du corps
idómbè    mouton
awadómbè w'adómbè    des agneaux
awana w'adómbè    des agneaux
ekolombè z'idómbè    un bélier
idómbè inom̂e    un bélier
ezómbi z'idómbè    une brebis
idómbè iṉanto    une brebis
ovangune w'idómbè    un mouton châtré
idóndólya    flatterie
o re sidóndólya    te es un flatteur
idondwa    hauteur
idondwa    altitude
idondwa    haut
idondwa    élevé
nomba mèyónó yi re idondwa    cette montagne est haute
idondwe    élevé
ikan'idondwe s'adyeno myè    les hautes statues que j'ai vues
idonga    premier
itove idonga s'alando zwè    les premières savanes que nous traversâmes
idówa    pêche à l'hameçon
awana wi re g'idówa    les enfants pèchent à la ligne
idundju ṉi rerè rapontȼómbó ni rerè dowè ṉ'avegagi iṉènè    l'époque des chefs rapontchombo et dowé était autre
ideg'idungu mèsónó, mandé be fe kola so?    qui est-ce qui achètera encore ces vieux biscuits ?
idungu    vieux
idungu    ancien
idundju    epoque
idya    claie pour barrer une rivière
idyandja    travail
egombe z'idyandja    le temps du travail
kwena g'idyandja    s'engager pour un travail
kènda g'idyandja    se rendre au travail
talwa g'idyandja    cesser le travail
