nó-nkènizaga    nullement
nó-nkènizaga    pas le moins du monde
nó-nkènizaga    jamais
ayè feya-pa myè, nónómè e fè kómbiza myè    il m'a appelé, et voilà qu'il me chasse encore
nónómè    et voilà que
nónó    ainsi
nónó    il en est ainsi
nóntȼe    chambre
nóntȼe yi nano    chambre à coucher
nóntȼe yi meli    cabine de paquebot
nóntȼe y'owatanga    cabine de navire
nóza    faire passer
nóza    passer
nóza    transmettre
nóza    communiquer
nóza    transférer
nózan'abukwè    se communiquer les abukwè
nóz'oma ifura    remettre de l'argent à quelqu'un
fèti yi re nózo-pa go sónó    la fête est transférée à dimanche
nsène    se dit d'un animal-fétiche, incarnation de l'esprit de quelqu'un dans un animal
nsènïmonda    sorcier
nsind'irèm̂a    consolateur
nsogini    saveur agréable
olonda winó wi re nsogini n'iyè    ce fruit a une saveur sui generis
nsómbwani    en cachette
dend'isam̂u nsómbwani    agir en cachette
dyone nsómbwani    rire en cachette
dyufe nsómbwani    prendre furtivement le bien d'autrui
nsonganaga    successivement
nsonganaga    à la suite
meli mbani s'adula du nsonganaga    les deux paquebots ont levé l'ancre l'un après l'autre
nsótaga    sans bruit
nsótaga    en tapinois
nsótaga    à pas de loup
bye nsótaga    venir à pas de loup
nsukino    fin
nsukino    terme
nsukino    but
nsukino yi mpónó    le bout du chemin
nsukino yi ntȼaga    la limite du jardin
ntȼaga    plantation
ntȼaga    champ
ntȼaga    jardin
ntaga    comme
ntaga    ainsi que
ntaga    de même que
ntaga    egalement
ntaga abuya myè    comme je l'ai dit
azw'are sika ntaga mo    nous sommes aussi riches
ntalyanaga    les uns sur les autres
ntalyanaga    en pile
ntalyo    excuse
ntalyo    prétexte
ntalyo    échappatoire
o bele dènge ntalyo    tu cherches un prétexte
ntamba    cercle de barrique en bois
ntambaramba    arbuste du bord des eaux
ntambi    opulence
dewine ntambi    soupirer après les richesses
iṉa si ntambi    un repas copieux
ntambi    richesse
ntȼambi    habitudes
ntȼambi    usages
ntȼambi    mœurs
ntȼambi    sorte de lyre ou cithare
ntangago    en petit nombre
ikum̂e yi re gunu ntangago    les ocoumés sont rares par ici
