amortir    ekèisse
amortir    edokusu
s'amortir    ekubi
amour    etondili
amours    bitoudili
amputation    ligudu
amputations    magudu
amputer    ekèssè ligudu
amusement    mutambo
amusements    mitambo
amuser    etambassa
s'amuser    etamba
an    ishiu
ans    bishiu
ananas    eba
ananas    biba
ananas    lilanga
ananas    malanga
anathematiser   etshinda bibuli
anathème    ebuli
anathème    bibuli
ancêtre    ngaga
ancêtres    ngaga
ancre    mududu
ancres    midudu
ange    anj
angle    mubati
angles   mibati
angle    mussongo
angles    missongo
angoisse    essungili
angoisses    bissungili
anguille    ndsômbo
anguilles   bansdômbo
anneau    lingassi
bague    lingassi
anneaux    mangassi
bagues    mangassi
annuler    emassa
anse    ekuatili
anses    bikuatili
antilope    mukaï
antilopes    mikaï
antre    libungu
antres    mabungu
caverne    libungu
cavernes    mabungu
anus    edussu
des anus    bidussu
anxiété    bomo yu munènè
apaisement    elègili
apaisements    bilègili
apaiser    elèga
s'apaiser    ekolo
apparâitre    eyèssa
apparâitre    eshuta
apercevoir    emono
apetissement    ekèissili
apetissements    bikèeissili
apetisser    ekèisse
aplanir    essa lindèbè
aplanir une difficulté    essa mudèru
aplatir    essa lipèbè
s'aplatir    epètana
aplatissement    epètissi
aplatissements    bipètissi
apoplexie    ndsiga
apoplexies    bandsiga
apostasie    epolili si mutu pola ghu edjalili ya kretien
apostasier    epola ghu edjalili ya kretien
apostat    mupoli ghu edjalili ya kretien
apôtre    mutu yuyèssa mambo mu malongo
apparence    edimu
apprences    bidumu
appartement    ndjo
appartements    mandjo
appât    esômbo
appâts    bisômbo
appauvrir    ekussa
appeler    etèle
appeler quelqu'un    etèle
appeler    evèssè
comment t'appelles-tu?    O kumbo kè?
appesantir    elèmisse
appetit    ndjala
applaudir    estaïa
applaudissemnt    estaïli
applaudissemnts    bistaaïli
appréhender    eparassa
saisir    ekuata
craindre    ebataga
craindre    emo
craindre    bomo
apprendre    eyèga
apprendre    eyaba
faire savoir    elèle
faire savoir    eyabbassa
montrer    eyèssa
apprendre une nouvelle    eyuga tshangu
apprenti    muyègi
apprentie    muyègi
apprentis    bayègi
apprenties    bayègi
apprentissage    eyègili
apprentissages    biyègili
approbateur    muyali
approbateur    bayali
approbation    eyalili
approbations    biyalili
approcher    ebakana
approprier    eyèbisse
approprier    etshèmisse
approprier    emassa mbindu
approuver    eyala
approvisionner    evè bèla bi baranda
appui    edèrissi
appui    eyamissi
appuis    bidèrissi
appuis    biyamissi
appui à un mur    essukili
appuyer    essuka
aider    eyamassa
s'appuyer    eyèkine
appuyer la main    epigna
s'appuyer sur un baton    essuka gnutu
après    mana
après    lota
après    mata
après-demain    bissambadi
après-midi    mata mulingi a muï
apte    etôga
propre à    tshitsha
araignée    libuli
araignées    mabuli
arbitre    mupami a mambo
arbre    muti
arbres    miti
l'arbre pousse    muti èmeme
tronc d'arbre    etolo a muti
troncs d'arbres    bitolo a muti
